"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","repl","err","sp_nms","Ridx","d"
"22",0,0.094165114730572,0,0,0.260898217769278,0,0.326406483410593,0.140079193577714,0.179080119713592,0.204869105329489,0,0,"H22",22,"HabSubsmpl_25"
"20",0,0.220644321277871,0,0,0.433052379843808,0,0.557747176019766,0.30586112323646,0.330781024890916,0.309265787278886,0,0,"H20",20,"HabSubsmpl_25"
"6",0,0.271829863670329,0,0,0.457449835343751,0,0.683806475287811,0.212560333101531,0.465027764950179,0.240369613223639,0,0,"H6",6,"HabSubsmpl_25"
"24",0,0.137603400762887,0,0,0.308971253155979,0,0.456368485397004,0.0803599179227047,0.296761669760224,0.179638661041264,0,0,"H24",24,"HabSubsmpl_25"
"25",0.00115272646474669,0.110614159768643,0,0,0.377229761019512,0,0.443774227555019,0.212778514625516,0.221573743818112,0.325938535117146,0,0,"H25",25,"HabSubsmpl_25"
"10",0,0.24219143515516,0,0,0.535961547788451,0,0.631378819748496,0.436588833362878,0.335779163360892,0.438389382099774,0,0,"H10",10,"HabSubsmpl_25"
"1",0,0.496252475960457,0,0,0.811392713885658,0,1.38938865026366,0.0782960473498367,1.02632526589257,0.281694946741782,0,0,"H1",1,"HabSubsmpl_25"
"15",0,0.15868881545741,0,0,0.421157144782785,0,0.608529955671781,0.0882285304408355,0.382303938001834,0.263767727520323,0,0,"H15",15,"HabSubsmpl_25"
"18",0,0.132238967384252,0,0,0.306308957717837,0,0.43056195603106,0.112820699676411,0.268642826196632,0.196700956018257,0,0,"H18",18,"HabSubsmpl_25"
"13",0,0.216231968192606,0,0,0.32616822348521,0,0.534908193618527,0.101076109453049,0.390143403461044,0.127353987399153,0,0,"H13",13,"HabSubsmpl_25"
"16",0,0.246766236765561,0,0,0.462454653443223,0,0.598249970915635,0.339563555418078,0.358900953661581,0.325035896214173,0,0,"H16",16,"HabSubsmpl_25"
"2",0,0.227981400833289,0,0,0.349596494001994,0,0.649899420129273,0,0.490810259353902,0.0816802639435327,0,0,"H2",2,"HabSubsmpl_25"
"3",0,0.149800719560747,0,0,0.462049752770278,0,0.578201341207072,0.220833415163814,0.313184255528358,0.367476124555179,0,0,"H3",3,"HabSubsmpl_25"
"17",0.0853281572676097,0.0926979830298724,0.0526053534096046,0,0.414954991843097,0.00115145377466527,0.362055323184968,0.397959717070203,0.133585375405171,0.508998829982735,0,0,"H17",17,"HabSubsmpl_25"
"23",0,0.223015495796186,0,0,0.365035396452803,0,0.591561225038967,0.0958097729742764,0.424070334211795,0.153509458386506,0,0,"H23",23,"HabSubsmpl_25"
"9",0,0.272419763770822,0,0,0.414973197783082,0,0.492764641771747,0.466017097356034,0.284986899204717,0.312472957404823,0,0,"H9",9,"HabSubsmpl_25"
"12",0,0.263854472718237,0,0,0.629764167006603,0,0.903456313007807,0.186011519145199,0.570833305749906,0.392132939382104,0,0,"H12",12,"HabSubsmpl_25"
"7",0,0.217434887654269,0,0,0.452651395572363,0,0.567657525043708,0.326604359311457,0.325341890649018,0.339188846112252,0,0,"H7",7,"HabSubsmpl_25"
"4",0,0.249231360594643,0,0,0.445326240396783,0,0.67454064347297,0.16631326536779,0.458904501627899,0.231260625192892,0,0,"H4",4,"HabSubsmpl_25"
"21",0,0.18579233384011,0,0,0.435807499170843,0,0.385761801763112,0.56882993574801,0.127287480181903,0.461382731593637,0,0,"H21",21,"HabSubsmpl_25"
"19",0,0.15972307560819,0,0,0.37596310067752,0,0.572075840496901,0.0550145540040548,0.3780368214412,0.207396871459327,0,0,"H19",19,"HabSubsmpl_25"
"5",0,0.192787393602557,0,0,0.392732981360118,0,0.440135945825752,0.385262678969635,0.224499520318559,0.334883507847304,0,0,"H5",5,"HabSubsmpl_25"
"8",0,0.287776113442676,0,0,0.447352816322004,0,0.809660532248337,0,0.61369260997593,0.118451651651603,0,0,"H8",8,"HabSubsmpl_25"
"14",0,0.194514368237218,0,0,0.432060872930446,0,0.644135324175278,0.1048645341759,0.422179241131052,0.245868737894287,0,0,"H14",14,"HabSubsmpl_25"
"11",0,0.117842432810702,0,0,0.339171163540808,0,0.421018520590265,0.180857638457115,0.227976805207397,0.270258459579231,0,0,"H11",11,"HabSubsmpl_25"
"36",0.166692368144087,0.267210449069278,0.0930560941817883,0,0.404563271350529,0.00145795074728926,0.190117873394639,0,0.462583909281296,0.318594813403943,1,0,"H11",11,"HabSubsmpl_25"
"49",0.118844781977321,0.195719938046753,0.0683419768355542,0,0.311729262232571,0,0.139961148285857,0,0.359220585287644,0.246062762407715,1,0,"H24",24,"HabSubsmpl_25"
"34",0.139815406033753,0.224170217844045,0.0813777784226177,0,0.37405049615114,0,0.173935215069169,0,0.444256831014904,0.308340841440476,1,0,"H9",9,"HabSubsmpl_25"
"48",0,0.128030856719399,0.0468744831920971,0,0.52726716730432,0,0.0554414458960098,0,0.621316197163799,0.380672657651318,1,0,"H23",23,"HabSubsmpl_25"
"27",0,0,0.0230018623531739,0,0.364827757936989,0,0,0.00427783494388909,0.513070728254725,0.32504023266204,1,0,"H2",2,"HabSubsmpl_25"
"39",0.105398112955394,0.154630467664613,0.055142512925196,0,0.211080442196596,0.00316768778130484,0.116202193631106,0,0.242923673185037,0.172328720479682,1,0,"H14",14,"HabSubsmpl_25"
"30",0.279444949882542,0.306720211784143,0.126459280846473,0,0.254389736477793,0.0650958137500817,0.275193034506692,0,0.288403663348938,0.245136687776831,1,0,"H5",5,"HabSubsmpl_25"
"38",0.182490360719321,0.229696887206695,0.0873447769092349,0,0.256584551192437,0.0171057114311572,0.193079839405224,0,0.301187426383736,0.229531748552205,1,0,"H13",13,"HabSubsmpl_25"
"31",0.308122557002918,0.347153113478376,0.139915908676017,0,0.318216351386129,0.0488069868956108,0.315835431045683,0,0.378343577916538,0.311545486664551,1,0,"H6",6,"HabSubsmpl_25"
"28",0.371580290091165,0.299340893930024,0.1596161954395,0,0.0451456179635126,0.174391556795341,0.32430808656769,0.0209318161768171,0.0203257990944526,0.101883825075125,1,0,"H3",3,"HabSubsmpl_25"
"29",0.116731909491466,0.128811373126796,0.054471647899813,0,0.148839977855364,0,0.137868885960521,0.00163283641601683,0.203714089984554,0.164430975602598,1,0,"H4",4,"HabSubsmpl_25"
"37",0,0,0.0536006933396251,0,0.563624844924633,0,0.0380616602826585,0.031737045873786,0.755497700635897,0.476872487746227,1,0,"H12",12,"HabSubsmpl_25"
"44",0.245079495867822,0.276405664216192,0.112414625505537,0,0.241851823504397,0.0562059241118612,0.241561464292335,0,0.271385042328274,0.224786911257627,1,0,"H19",19,"HabSubsmpl_25"
"41",0.197872110498733,0.267758630045237,0.0995920950697647,0,0.355083135279979,0.00168219024360409,0.225931909667432,0,0.429724764122063,0.315986934073982,1,0,"H16",16,"HabSubsmpl_25"
"26",0,0.0816884846024688,0.0386779673649731,0,0.467094075889072,0,0.0292255557147166,0,0.576520942090156,0.356035018457202,1,0,"H1",1,"HabSubsmpl_25"
"47",0.599055825450603,0.523278273762803,0.252688661995834,0,0.111312264049318,0.296673345719164,0.508917974363588,0,0.0430166996651403,0.161332304192914,1,0,"H22",22,"HabSubsmpl_25"
"42",0.210984807091416,0.207752573944615,0.0919086253362757,0,0.118564365173642,0.0717142777550542,0.196277333392535,0,0.124732028147489,0.127518273203107,1,0,"H17",17,"HabSubsmpl_25"
"33",0.310757088308368,0.255633930158444,0.111189432997528,0,0.0301531255709605,0.164412714205681,0.26792946918412,0,0,0,1,0,"H8",8,"HabSubsmpl_25"
"46",0.0669947001409408,0.160930335576622,0.0584987045487709,0,0.390412659226381,0,0.11386047884069,0,0.463256895138802,0.303476046221304,1,0,"H21",21,"HabSubsmpl_25"
