"","R1","R2","R3","repl","d"
"1",0,0,0,0,"HabSubsmpl_25"
"2",0,0,0,0,"HabSubsmpl_25"
"3",0,0,0.986153846153846,0,"HabSubsmpl_25"
"4",0.962307692307692,0,0,0,"HabSubsmpl_25"
"5",0,0,0.850631060444277,0,"HabSubsmpl_25"
"6",0,0,0,0,"HabSubsmpl_25"
"7",0.942307692307692,0,0,0,"HabSubsmpl_25"
"8",0,0,0.954615384615385,0,"HabSubsmpl_25"
"9",0,0,0.974615384615385,0,"HabSubsmpl_25"
"10",0,0,0.79,0,"HabSubsmpl_25"
"11",0,0,0,1,"HabSubsmpl_25"
"12",0,0,0,1,"HabSubsmpl_25"
"13",0,0.870907204287207,0,1,"HabSubsmpl_25"
"14",0,0,0.863076923076923,1,"HabSubsmpl_25"
"15",0,0,0.893076923076923,1,"HabSubsmpl_25"
"16",0,0,0.945281138104654,1,"HabSubsmpl_25"
"17",0,0.802313628020338,0,1,"HabSubsmpl_25"
"18",0,0,0.92,1,"HabSubsmpl_25"
"19",0,0,0,1,"HabSubsmpl_25"
"20",0.914549924573371,0,0,1,"HabSubsmpl_25"
