,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,repl,err,n_nms,Ridx
0,0.24933893473173968,0.2229837357850149,0.25230532938648786,0.22977235443031838,0.23794444058479933,0.2199983794365344,0.25899337568281483,0.2801204557114342,0.22889300726605782,0.30491192623264557,0,0,H1,1
1,0.2607334983261816,0.30548995597083406,0.2534789730286024,0.30646686166283804,0.27685782869345166,0.29887544533049076,0.247863734435155,0.182643215680427,0.2802681855080851,0.3525916237140142,0,0,H2,2
2,0.13834510666254318,0.12644202886296355,0.13996973235924978,0.12790111480637853,0.1336134069616674,0.12659513929413366,0.14225242874355928,0.1555647636258551,0.13106236828949508,0.1395133942594074,0,0,H3,3
3,0.3154683455888647,0.26329245059175804,0.3218565104091368,0.2738240263800478,0.2936605764353222,0.2600993277597483,0.3337616282156476,0.3824105851865073,0.27852263472368266,0.38218097850456345,0,0,H4,4
4,0.3448308016950015,0.3812017156203927,0.33988853467608676,0.3766196964538944,0.35932082814606164,0.38084940621159213,0.3328567719856287,0.29246988407512,0.3672340216563576,0.3394195412920748,0,0,H5,5
5,0.31031102839026387,0.21165355214750936,0.32547084054061765,0.2141902131498769,0.2735580427090077,0.22185191751431407,0.3400022789276239,0.47276430943748327,0.2615546880911248,0.17767200938132244,0,0,H6,6
6,0.27218430059698956,0.2827428449356848,0.27045215132009975,0.2830902189620245,0.2759580509390742,0.28107317383294056,0.2691811395196927,0.25352057696775243,0.27665077165241136,0.2955957153177353,0,0,H7,7
7,0.30063544918893836,0.2742119297795711,0.3043552402357718,0.27681184158854244,0.29029645678254945,0.2751489527618249,0.3091291026740557,0.34018059195904804,0.2852447008729407,0.29371133916360226,0,0,H8,8
8,0.2425831292824391,0.1729043106684521,0.25149396801668844,0.18482703359977434,0.21401220944695437,0.17064116853009043,0.2664092802690023,0.33640345841911823,0.1958446056840504,0.2997794253991937,0,0,H9,9
9,0.20068268365143177,0.18265540135993993,0.20330967163884595,0.18392611737867393,0.19375873669961896,0.1837647063213609,0.20633560726845215,0.22870066402423148,0.1907933595980505,0.18846711330179022,0,0,H10,10
10,0.1867591469543898,0.20513469600194512,0.1834486143562585,0.20740883120700115,0.19289611026191977,0.2006689278983373,0.18200327769250751,0.15083094045895046,0.19250480459915473,0.2523669517189381,0,0,H11,11
11,0.3052070916183536,0.27113783755951176,0.31169134158688283,0.2649678424416352,0.2943327810479763,0.281242962249174,0.3134739745724546,0.37585313466945164,0.29692683849310236,0.15447289224943297,0,0,H12,12
12,0.2530337613928211,0.1590792032397209,0.266442016193397,0.16729866787292053,0.21653565657072452,0.1633687705806191,0.28294580407758296,0.3957613676788465,0.19955349072368905,0.21314779146774065,0,0,H13,13
13,0.32498724018717823,0.33847713868314727,0.32459450528781364,0.3286531447988296,0.3324573297720221,0.3459375419238498,0.31825568051165604,0.3223396054347989,0.3431630667455339,0.20198800031382108,0,0,H14,14
14,0.24463092812592913,0.1891624771874792,0.2522404787440046,0.19574308431375878,0.22263759134240899,0.19008035690579747,0.2627774169438481,0.3253262841970556,0.2109589492336493,0.24681753851119245,0,0,H15,15
15,0.2351616582274156,0.2848022998808194,0.22910786599048516,0.2746472602690228,0.2559446519487166,0.2879665885539816,0.21771914124476124,0.1717512905322649,0.2704763445979287,0.1696772227149757,0,0,H16,16
16,0.23563159337788936,0.20628881952834813,0.23970455761406192,0.2095019273915592,0.2240662723213985,0.20702480741923845,0.24515551294628474,0.2788727234196445,0.21814463600482611,0.23279676622343518,0,0,H17,17
17,0.3832607949736934,0.4229096212298995,0.37982599649151116,0.40689899978247507,0.40189827640732073,0.43281792053891716,0.36710214953282666,0.34892244768633607,0.42106061633655734,0.21331451124485304,0,0,H18,18
18,0.17951578246991748,0.14551037240709228,0.18389722148346352,0.15114471761879059,0.16561983742374606,0.14457809831969348,0.19109171841189368,0.2256834992758754,0.1569297721646493,0.20468454127347452,0,0,H19,19
19,0.3604220661219487,0.3610913868834431,0.3604605038983809,0.36027722419397845,0.3608769874734854,0.3617668233990164,0.3599959601471998,0.36096522924458685,0.3617206716134695,0.34945353484258734,0,0,H20,20
20,0.4097787200522612,0.3860334182528993,0.41560392437075583,0.3743671107214897,0.40409973414700734,0.3999587467087512,0.41346392788060665,0.47422394674280216,0.41295296245343166,0.19502532689144228,0,0,H21,21
21,0.3020649679868118,0.32015221262731486,0.2991964060667373,0.32019062748346633,0.30867315752925717,0.31781209563975477,0.296763494982921,0.2712423955448781,0.3103922306897792,0.33387996174436374,0,0,H22,22
22,0.38550232505211895,0.4351418837645621,0.3797210693625287,0.4234505146143182,0.4066812272327487,0.43974176428327016,0.36762701392083474,0.32526551767551615,0.422682244826484,0.29713668169641333,0,0,H23,23
23,0.20746916558097908,0.22721137300167757,0.2038089858637887,0.23023806377352543,0.21391206150498793,0.2218683568176406,0.20252405845135565,0.16766438648829127,0.21293363836351167,0.286644874011165,0,0,H24,24
24,0.19625795085257516,0.23185055231765334,0.18996175331889947,0.23560026302687642,0.20831397797832493,0.2238127289214181,0.18686134299256238,0.1280192681713802,0.20818269227045924,0.31358012078471204,0,0,H25,25
0,0.2597693886987971,0.2752981115176748,0.2741717414027183,0.2633156134267416,0.2699707360660233,0.2672318659550097,0.2993366122027746,0.2707515273128208,0.2786483123620385,0.2677105861227191,1,0,H1,1
1,0.2984739762478021,0.29424087353860323,0.26978582509594956,0.2897555495074972,0.29523742864324976,0.30571935371659836,0.25746100159803037,0.28307344375174864,0.2675349016913566,0.3049158900634717,1,0,H2,2
2,0.2215400418534122,0.24722330342327706,0.16763436112440078,0.203073214612894,0.2369819186866488,0.26301033272601726,0.19210112828121945,0.20075970987104286,0.17180323200847114,0.26168971894944193,1,0,H3,3
3,0.4206938473878887,0.32774175153154655,0.4880257858266329,0.44753279253107014,0.3624559606396383,0.31848478548829684,0.37127970435914315,0.43188747914560954,0.4676203811802189,0.31979209596358377,1,0,H4,4
4,0.2481359262698702,0.22638947025254616,0.19535763852547208,0.23296152977038567,0.2332498554770416,0.24990580973250368,0.1529199426704914,0.21641797416808262,0.18773141834313234,0.2483491809088128,1,0,H5,5
5,0.3416675374539535,0.40608172229404516,0.31962844010575175,0.3307761042648405,0.38247845682549486,0.4032699668553195,0.4059651753018587,0.34624655368019536,0.33479376610919925,0.4030331478394777,1,0,H6,6
6,0.4006703925802245,0.34083954211531753,0.3558187087180578,0.3903377229575093,0.3615612554537714,0.3679309844128194,0.26120867428117467,0.36368789789641115,0.3390136794259266,0.36637566463495586,1,0,H7,7
7,0.3055700293507149,0.3848874137759146,0.2965729713095303,0.29783774447719885,0.3561570118172872,0.37462670188241604,0.40688871414084793,0.3202979119153735,0.3160020734481789,0.3748281167197196,1,0,H8,8
