,nrep,errors,n_num,rsc_num,radius,rsc_cube_gen_rule,rsc_cube_gen_vals,sp_num,perc_comp,perc_facil,int_minmax,sp_ini_perc,D_set,var_sp_int,mean_sp_int,shape
0,0,0,25,3,0,fix_same,0,10,0.4,0.09999999999999998,0.5,1,0.0,0.043309780261272406,0.0868536526979088,100
0,1,0,25,3,0,fix_same,0,10,0.4,0.09999999999999998,0.5,1,0.0,0.031751682589488836,0.06514659849053776,100
