"","R1","R2","R3","repl","d"
"1",0.903076923076923,0,0,0,"HabSubsmpl_25"
"2",0,0,0,0,"HabSubsmpl_25"
"3",0,0,0,0,"HabSubsmpl_25"
"4",0,0,0,0,"HabSubsmpl_25"
"5",0,0,0,0,"HabSubsmpl_25"
"6",0.784615384615385,0,0,0,"HabSubsmpl_25"
"7",0,0.744615384615385,0,0,"HabSubsmpl_25"
"8",0,0.848461538461538,0,0,"HabSubsmpl_25"
"9",0,0.820769230769231,0,0,"HabSubsmpl_25"
"10",0,0.974953640197625,0,0,"HabSubsmpl_25"
"11",0,0.997692307692308,0,1,"HabSubsmpl_25"
"12",0,0,0.929230769230769,1,"HabSubsmpl_25"
"13",0,0,0,1,"HabSubsmpl_25"
"14",0.896923076923077,0,0,1,"HabSubsmpl_25"
"15",0,0.756153846153846,0,1,"HabSubsmpl_25"
"16",0.772307692307692,0,0,1,"HabSubsmpl_25"
"17",0,0,0,1,"HabSubsmpl_25"
"18",0.820769230769231,0,0,1,"HabSubsmpl_25"
"19",0.865281241768071,0,0,1,"HabSubsmpl_25"
"20",0,0.953076923076923,0,1,"HabSubsmpl_25"
