"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","repl","d"
"S1",1,NA,0.0578271283909122,0.54,0.341568935365671,0.939230769230769,0.157692307692308,0.283076923076923,0.578461538461538,0.254721089395506,0,"HabSubsmpl_25"
"S2",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"HabSubsmpl_25"
"S3",0.0578271283909122,NA,1,0.409608826102295,0.734594577213933,-0.23974163645399,0.00120473184147734,-0.598751725214237,-0.542129328664802,-0.633704052463867,0,"HabSubsmpl_25"
"S4",0.54,NA,0.409608826102295,1,0.42655259392555,0.433846153846154,0.499230769230769,0.0284615384615385,0.221538461538462,0.219653586921995,0,"HabSubsmpl_25"
"S5",0.341568935365671,NA,0.734594577213933,0.42655259392555,1,0.0555662382891522,0.0343203236491822,-0.411843883790187,-0.290905600454973,-0.429831440878361,0,"HabSubsmpl_25"
"S6",0.939230769230769,NA,-0.23974163645399,0.433846153846154,0.0555662382891522,1,0.212307692307692,0.503846153846154,0.760769230769231,0.493257177649391,0,"HabSubsmpl_25"
"S7",0.157692307692308,NA,0.00120473184147734,0.499230769230769,0.0343203236491822,0.212307692307692,1,0.66,0.565384615384615,0.70635969268073,0,"HabSubsmpl_25"
"S8",0.283076923076923,NA,-0.598751725214237,0.0284615384615385,-0.411843883790187,0.503846153846154,0.66,1,0.920769230769231,0.922545065072377,0,"HabSubsmpl_25"
"S9",0.578461538461538,NA,-0.542129328664802,0.221538461538462,-0.290905600454973,0.760769230769231,0.565384615384615,0.920769230769231,1,0.885165419578634,0,"HabSubsmpl_25"
"S10",0.254721089395506,NA,-0.633704052463867,0.219653586921995,-0.429831440878361,0.493257177649391,0.70635969268073,0.922545065072377,0.885165419578634,1,0,"HabSubsmpl_25"
"S1.1",1,0.454615384615385,NA,0.190769230769231,0.772307692307692,0.612307692307692,NA,0.570769230769231,-0.194765261714699,0.96,1,"HabSubsmpl_25"
"S2.1",0.454615384615385,1,NA,0.543076923076923,0.851538461538462,0.69,NA,0.590769230769231,0.111624359480757,0.623076923076923,1,"HabSubsmpl_25"
"S3.1",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"HabSubsmpl_25"
"S4.1",0.190769230769231,0.543076923076923,NA,1,0.634615384615385,0.86,NA,0.871538461538462,0.838337430858923,0.259230769230769,1,"HabSubsmpl_25"
"S5.1",0.772307692307692,0.851538461538462,NA,0.634615384615385,1,0.896923076923077,NA,0.83,0.190146322701702,0.857692307692308,1,"HabSubsmpl_25"
"S6.1",0.612307692307692,0.69,NA,0.86,0.896923076923077,1,NA,0.979230769230769,0.507313468260817,0.664615384615385,1,"HabSubsmpl_25"
"S7.1",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,"HabSubsmpl_25"
"S8.1",0.570769230769231,0.590769230769231,NA,0.871538461538462,0.83,0.979230769230769,NA,1,0.563510559585612,0.599230769230769,1,"HabSubsmpl_25"
"S9.1",-0.194765261714699,0.111624359480757,NA,0.838337430858923,0.190146322701702,0.507313468260817,NA,0.563510559585612,1,-0.166281804467886,1,"HabSubsmpl_25"
"S10.1",0.96,0.623076923076923,NA,0.259230769230769,0.857692307692308,0.664615384615385,NA,0.599230769230769,-0.166281804467886,1,1,"HabSubsmpl_25"
