,R1,R2,R3,repl,err,n_nms,Ridx
0,0.1494721476629497,0.23823431694545927,0.3034297222510677,0,0,H1,1
1,0.3079607510005448,0.3656347471656949,0.1942762725453095,0,0,H2,2
2,0.20876997764673777,0.269843143095921,0.1615734901836834,0,0,H3,3
3,0.34148255593738475,0.21981187623128484,0.25408649879595346,0,0,H4,4
4,0.336847641672881,0.31544775736403596,0.15003631305033155,0,0,H5,5
5,0.48475098499772734,0.07931979728247315,0.05979149430338873,0,0,H6,6
6,0.5852895593076339,0.2696090703572188,0.11336087664307495,0,0,H7,7
7,0.4293226311448678,0.187150378533825,0.20564039461695735,0,0,H8,8
8,0.2602688717892599,0.2033923223437565,0.14151309849935345,0,0,H9,9
9,0.09782761911900387,0.32716481435282585,0.2460106329682619,0,0,H10,10
10,0.18533470336160993,0.4977941286888672,0.13152706418824844,0,0,H11,11
11,0.3367176073398228,0.20947159009139626,0.25910680041564926,0,0,H12,12
12,0.07355719677881688,0.10057842900051263,0.19634267977503403,0,0,H13,13
13,0.21892909836480703,0.248121617110042,0.32223351091422486,0,0,H14,14
14,0.16607862599442474,0.41598217172111007,0.4046603457294179,0,0,H15,15
15,0.3587137371705841,0.1737773995397662,0.1459576703743461,0,0,H16,16
16,0.3246135176128017,0.28978046005241737,0.2820726574341081,0,0,H17,17
17,0.17521024211718603,0.3224980687059759,0.2756481250922535,0,0,H18,18
18,0.2566716853921363,0.33860318224578,0.17263615077196837,0,0,H19,19
19,0.07703372048609211,0.20414517118345285,0.2204821155389366,0,0,H20,20
20,0.11583151992882008,0.39444149853775295,0.1126747253645438,0,0,H21,21
21,0.33362121269860595,0.20782599424351997,0.18896298723546626,0,0,H22,22
22,0.29702607365945205,0.2151741902379687,0.2291232663661532,0,0,H23,23
23,0.17808137274729052,0.21520079559793256,0.5033838529647414,0,0,H24,24
24,0.10450005373147232,0.40051965141810586,0.29687519660699946,0,0,H25,25
0,0.14874521639783989,0.19669819007371128,0.17728841010411786,1,0,H1,1
1,0.27371868850783543,0.36983501970205723,0.31092811033679424,1,0,H2,2
2,0.49665216674877005,0.21693304045803294,0.10498598154002273,1,0,H3,3
3,0.2815966929318653,0.3455824755596259,0.4281859039773336,1,0,H4,4
4,0.2424811009275417,0.2988518625411931,0.1356551809180113,1,0,H5,5
5,0.2979779905720423,0.32749248995217217,0.20776047836315584,1,0,H6,6
6,0.20464676879178872,0.14561174996872311,0.2310275360447616,1,0,H7,7
7,0.20300806361870863,0.15670129444497544,0.3308317222071684,1,0,H8,8
8,0.23312072672244225,0.19633017541764394,0.2651757765677579,1,0,H9,9
9,0.09817330547565985,0.3311633163113314,0.22619396521074986,1,0,H10,10
10,0.18831095236426557,0.26561643011667935,0.34240434133758274,1,0,H11,11
11,0.22262428917150223,0.2537160532952544,0.19129383465371785,1,0,H12,12
12,0.15720276694806426,0.34716538572327454,0.07540828561732017,1,0,H13,13
13,0.23385246222909578,0.2875603563337669,0.33499868824203405,1,0,H14,14
14,0.34850251394505977,0.2886847599506548,0.2782743394858026,1,0,H15,15
15,0.27451968254823317,0.2584841066681542,0.26985654718914154,1,0,H16,16
16,0.13509644327013093,0.10894195781929625,0.12152333707642078,1,0,H17,17
17,0.17445037736739932,0.2896287079774925,0.5080210649051359,1,0,H18,18
18,0.16635479033896813,0.42228649245216926,0.12785460763575165,1,0,H19,19
19,0.20786384372008693,0.050007860469548644,0.23238094308446355,1,0,H20,20
20,0.09943889943155372,0.24994539232373522,0.3026679543302303,1,0,H21,21
21,0.2305028127370256,0.1574983194625739,0.26462800838052747,1,0,H22,22
22,0.09186470808918963,0.20397163951195815,0.32793514105578786,1,0,H23,23
23,0.1073209564091994,0.0908020238877267,0.46741389553411383,1,0,H24,24
24,0.18455068867044278,0.1278528421772721,0.2858070973718118,1,0,H25,25
