"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","repl","d"
"S1",1,0.513218493589673,NA,0.534891237910902,-0.535823441958312,0.136923076923077,-0.41667244034013,-0.429334808168227,0.698980586117061,-0.360311084020494,0,"HabSubsmpl_25"
"S2",0.513218493589673,1,NA,0.739710667512428,-0.562317516041185,-0.423447601971677,-0.705128205128205,-0.785590513809675,0.751340548360551,-0.19272154867957,0,"HabSubsmpl_25"
"S3",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,"HabSubsmpl_25"
"S4",0.534891237910902,0.739710667512428,NA,1,-0.639829485523031,-0.527145099557009,-0.802325739185962,-0.839452390775634,0.926453251749967,0.0954822463011293,0,"HabSubsmpl_25"
"S5",-0.535823441958312,-0.562317516041185,NA,-0.639829485523031,1,0.118865512254184,0.4181597528379,0.505687030633547,-0.655279299988918,-0.0381165919282511,0,"HabSubsmpl_25"
"S6",0.136923076923077,-0.423447601971677,NA,-0.527145099557009,0.118865512254184,1,0.614422470460904,0.634354239035077,-0.470475100066684,-0.313879243296204,0,"HabSubsmpl_25"
"S7",-0.41667244034013,-0.705128205128205,NA,-0.802325739185962,0.4181597528379,0.614422470460904,1,0.89977775469018,-0.78945816355359,-0.0500973787018511,0,"HabSubsmpl_25"
"S8",-0.429334808168227,-0.785590513809675,NA,-0.839452390775634,0.505687030633547,0.634354239035077,0.89977775469018,1,-0.798925436895576,-0.0106766935450461,0,"HabSubsmpl_25"
"S9",0.698980586117061,0.751340548360551,NA,0.926453251749967,-0.655279299988918,-0.470475100066684,-0.78945816355359,-0.798925436895576,1,-0.00835933905017755,0,"HabSubsmpl_25"
"S10",-0.360311084020494,-0.19272154867957,NA,0.0954822463011293,-0.0381165919282511,-0.313879243296204,-0.0500973787018511,-0.0106766935450461,-0.00835933905017755,1,0,"HabSubsmpl_25"
"S1.1",1,0.0929425998058255,0.356325107313782,-0.280918693542978,-0.241631513705126,-0.39195761804516,0.31106838680518,0.749567016224857,-0.0712137286705019,-0.00693374422187981,1,"HabSubsmpl_25"
"S2.1",0.0929425998058255,1,-0.562079243464012,-0.478597441527473,-0.441488001796245,-0.221003293869751,0.240894561606617,0.219695840185235,-0.421313343813654,0.917470725884062,1,"HabSubsmpl_25"
"S3.1",0.356325107313782,-0.562079243464012,1,-0.127846791401944,0.0241126711330546,0.119607843137255,-0.0295318524059726,0.240597738719248,-0.261748554070798,-0.464960810763106,1,"HabSubsmpl_25"
"S4.1",-0.280918693542978,-0.478597441527473,-0.127846791401944,1,0.296694711656387,0.0217611559833096,-0.153030375616258,-0.45125886352983,0.558452947287078,-0.513611001928364,1,"HabSubsmpl_25"
"S5.1",-0.241631513705126,-0.441488001796245,0.0241126711330546,0.296694711656387,1,-0.00733863904049487,-0.493201003960475,-0.117959562152505,0.512126200222431,-0.438654132572382,1,"HabSubsmpl_25"
"S6.1",-0.39195761804516,-0.221003293869751,0.119607843137255,0.0217611559833096,-0.00733863904049487,1,-0.150265013712743,-0.55068218898196,0.0220698612201347,0.00347634251037836,1,"HabSubsmpl_25"
"S7.1",0.31106838680518,0.240894561606617,-0.0295318524059726,-0.153030375616258,-0.493201003960475,-0.150265013712743,1,0.414967295113505,-0.0913121201726818,0.213667023114944,1,"HabSubsmpl_25"
"S8.1",0.749567016224857,0.219695840185235,0.240597738719248,-0.45125886352983,-0.117959562152505,-0.55068218898196,0.414967295113505,1,-0.249690744026798,0.0619826859846954,1,"HabSubsmpl_25"
"S9.1",-0.0712137286705019,-0.421313343813654,-0.261748554070798,0.558452947287078,0.512126200222431,0.0220698612201347,-0.0913121201726818,-0.249690744026798,1,-0.435108056492298,1,"HabSubsmpl_25"
"S10.1",-0.00693374422187981,0.917470725884062,-0.464960810763106,-0.513611001928364,-0.438654132572382,0.00347634251037836,0.213667023114944,0.0619826859846954,-0.435108056492298,1,1,"HabSubsmpl_25"
