"","N1","N2","correl","cooc","int","euc","euctrim","coocpos","coocneg","intpos","intneg","euctrimpos","euctrimneg","shrd_rsc_pos","shrd_rsc_neg","repl","d"
"99","S9","S10",-0.00835933905017755,0,0,1.10069276462878,1.10069276462878,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"111","S1","S2",0.0929425998058255,0,0,0.8637313322332,0.8637313322332,0,0,0,0,0,1,0,0,1,"HabSubsmpl_25"
"211","S1","S3",0.356325107313782,0,-0.131582938531104,0.496510129105997,0,0,0,1,0,0,0,0,0,1,"HabSubsmpl_25"
"221","S2","S3",-0.562079243464012,0,0.468502040589029,0.371269684802164,0.371269684802164,0,0,0,1,1,0,0,0,1,"HabSubsmpl_25"
"311","S1","S4",-0.280918693542978,0,0,1.0046526918504,1.0046526918504,0,0,0,0,0,1,0,0,1,"HabSubsmpl_25"
"321","S2","S4",-0.478597441527473,0,0.389985042092965,0.585469552507996,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"331","S3","S4",-0.127846791401944,0,0.411917632667258,0.703573824918362,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"411","S1","S5",-0.241631513705126,0,0.193042453996226,0.872764418355089,0.872764418355089,0,0,0,1,0,1,0,0,1,"HabSubsmpl_25"
"421","S2","S5",-0.441488001796245,0,0.136175475023721,0.224558445481317,0.224558445481317,0,0,0,1,1,0,0,0,1,"HabSubsmpl_25"
"431","S3","S5",0.0241126711330546,0,0.197242647714267,0.393573381644769,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"441","S4","S5",0.296694711656387,0,0.251354061837796,0.807730332614992,0.807730332614992,0,0,0,1,0,1,0,0,1,"HabSubsmpl_25"
"511","S1","S6",-0.39195761804516,0,0,0.222527909172266,0.222527909172266,0,0,0,0,1,0,0,0,1,"HabSubsmpl_25"
"521","S2","S6",-0.221003293869751,0,0.236776903076531,1.02787702608699,1.02787702608699,0,0,0,1,0,1,0,0,1,"HabSubsmpl_25"
"531","S3","S6",0.119607843137255,0,0,0.657271761979924,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"541","S4","S6",0.0217611559833096,0,0.498589002504856,1.22337454771854,1.22337454771854,0,0,0,1,0,1,0,0,1,"HabSubsmpl_25"
"551","S5","S6",-0.00733863904049487,0,0,0.996522434379444,0.996522434379444,0,0,0,0,0,1,0,0,1,"HabSubsmpl_25"
"611","S1","S7",0.31106838680518,0,0,0.728196701264646,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"621","S2","S7",0.240894561606617,0,0,0.59111276491132,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"631","S3","S7",-0.0295318524059726,0,0,0.452825567810332,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"641","S4","S7",-0.153030375616258,0,0.466018431260145,1.11210180362361,1.11210180362361,0,0,0,1,0,1,0,0,1,"HabSubsmpl_25"
"651","S5","S7",-0.493201003960475,0,0.134825096550029,0.407999087577057,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"661","S6","S7",-0.150265013712743,0,0,0.762260505422015,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"711","S1","S8",0.749567016224857,0.749567016224857,-0.384312376535902,0.342068822618959,0.342068822618959,1,0,1,0,1,0,0,0,1,"HabSubsmpl_25"
"721","S2","S8",0.219695840185235,0,-0.186503022494522,0.660676275397318,0,0,0,1,0,0,0,0,0,1,"HabSubsmpl_25"
"731","S3","S8",0.240597738719248,0,0,0.315559949982988,0.315559949982988,0,0,0,0,1,0,0,0,1,"HabSubsmpl_25"
