"","R1","R2","R3","repl","d"
"1",0.876923076923077,0,0,0,"HabSubsmpl_25"
"2",0,0,0.768461538461539,0,"HabSubsmpl_25"
"3",0,0.918510924370872,0,0,"HabSubsmpl_25"
"4",0,0.789729777677178,0,0,"HabSubsmpl_25"
"5",0,-0.724329723263091,0,0,"HabSubsmpl_25"
"6",0,0,0,0,"HabSubsmpl_25"
"7",0,0,0.792307692307692,0,"HabSubsmpl_25"
"8",0,0,0.723215485596566,0,"HabSubsmpl_25"
"9",0,0.950731613508512,0,0,"HabSubsmpl_25"
"10",0.838461538461538,0,0,0,"HabSubsmpl_25"
"11",0.826153846153846,0,0,1,"HabSubsmpl_25"
"12",0.886153846153846,0,0,1,"HabSubsmpl_25"
"13",0,0.944615384615385,0,1,"HabSubsmpl_25"
"14",0,0,0.936923076923077,1,"HabSubsmpl_25"
"15",0,0.768928345999841,0,1,"HabSubsmpl_25"
"16",0,0,0.718461538461538,1,"HabSubsmpl_25"
"17",0,0,0,1,"HabSubsmpl_25"
"18",0,0,0.759777890859502,1,"HabSubsmpl_25"
"19",0,0,0,1,"HabSubsmpl_25"
"20",0,0,0.88683629049539,1,"HabSubsmpl_25"
