"","N1","N2","correl","cooc","int","euc","euctrim","coocpos","coocneg","intpos","intneg","euctrimpos","euctrimneg","shrd_rsc_pos","shrd_rsc_neg","repl","d"
"11","S1","S2",-0.468594318766922,0,0,0.550401311427843,0,0,0,0,0,0,0,0,1,0,"HabSubsmpl_25"
"21","S1","S3",0.0875141099948639,0,0,0.383513320243809,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"22","S2","S3",-0.469452659309933,0,0.183083391279846,0.26691994195317,0.26691994195317,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"31","S1","S4",0.86,0.86,-0.421413243719531,0.54685445969415,0,1,0,1,0,0,0,0,0,0,"HabSubsmpl_25"
"32","S2","S4",-0.0450867888945147,0,0.29651909806898,0.0596577835547058,0.0596577835547058,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"33","S3","S4",0.0631185837573576,0,0,0.227893929571145,0.227893929571145,0,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"41","S1","S5",0.931538461538462,0.931538461538462,0.236715213075423,0.29779960475606,0.29779960475606,1,0,0,1,1,0,1,0,0,"HabSubsmpl_25"
"42","S2","S5",-0.611947186021276,0,0.33330163436431,0.272407468268265,0.272407468268265,0,0,0,1,1,0,0,1,0,"HabSubsmpl_25"
"43","S3","S5",0.370192429889778,0,0.200534879797801,0.25006126686847,0.25006126686847,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"44","S4","S5",0.780769230769231,0.780769230769231,-0.37502918692875,0.288163884151784,0.288163884151784,1,0,1,0,1,0,0,0,0,"HabSubsmpl_25"
"51","S1","S6",0.02,0,0,0.881060097171546,0.881060097171546,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"52","S2","S6",0.719076479292003,0.719076479292003,0,0.621647835763281,0,1,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"53","S3","S6",-0.844162653932758,-0.844162653932758,0.208148069113743,0.836133068641095,0.836133068641095,0,1,0,1,0,1,0,1,0,"HabSubsmpl_25"
"54","S4","S6",0.256153846153846,0,0,0.681300584717861,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"55","S5","S6",-0.242307692307692,0,0.17693034369665,0.640508072090172,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"61","S1","S7",-0.168461538461538,0,0.349434081192281,0.726787972509233,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"62","S2","S7",0.918306136201953,0.918306136201953,0,0.319114251246368,0.319114251246368,1,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"63","S3","S7",-0.625764609520796,0,0.101342471479892,0.566169701890691,0,0,0,0,1,0,0,0,1,0,"HabSubsmpl_25"
"64","S4","S7",0.230769230769231,0,-0.220463031981257,0.377263459712068,0,0,0,1,0,0,0,0,0,0,"HabSubsmpl_25"
"65","S5","S7",-0.363846153846154,0,0.296189531813368,0.43629218592379,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"66","S6","S7",0.892307692307692,0.892307692307692,0,0.319587227216554,0.319587227216554,1,0,0,0,1,0,1,0,0,"HabSubsmpl_25"
"71","S1","S8",0.512307692307692,0,0,0.184270088707588,0.184270088707588,0,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"72","S2","S8",0.407707885900825,0,0,0.36614637495242,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"73","S3","S8",-0.58316924624896,0,0.1603485168468,0.234277237996522,0.234277237996522,0,0,0,1,1,0,0,1,0,"HabSubsmpl_25"
"74","S4","S8",0.69,0,0,0.364546557832365,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"75","S5","S8",0.266153846153846,0,0.361650225556521,0.126843120482798,0.126843120482798,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"76","S6","S8",0.830769230769231,0.830769230769231,0,0.758898337904367,0,1,0,0,0,0,0,1,0,0,"HabSubsmpl_25"
"77","S7","S8",0.683846153846154,0,-0.136427398741248,0.562907135127269,0,0,0,1,0,0,0,1,0,0,"HabSubsmpl_25"
"81","S1","S9",0.88,0.88,0,0.364233991044176,0,1,0,0,0,0,0,1,0,0,"HabSubsmpl_25"
"82","S2","S9",-0.211175729181146,0,0,0.44316375225266,0,0,0,0,0,0,0,0,1,0,"HabSubsmpl_25"
"83","S3","S9",0.235436189720696,0,0.477168802052815,0.176606990995991,0.176606990995991,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"84","S4","S9",0.962307692307692,0.962307692307692,0,0.400989365718208,0,1,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"85","S5","S9",0.861538461538462,0.861538461538462,0,0.373535231210505,0,1,0,0,0,0,0,1,0,0,"HabSubsmpl_25"
