"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","repl","d"
"S1",1,-0.468594318766922,0.0875141099948639,0.86,0.931538461538462,0.02,-0.168461538461538,0.512307692307692,0.88,NA,0,"HabSubsmpl_25"
"S2",-0.468594318766922,1,-0.469452659309933,-0.0450867888945147,-0.611947186021276,0.719076479292003,0.918306136201953,0.407707885900825,-0.211175729181146,NA,0,"HabSubsmpl_25"
"S3",0.0875141099948639,-0.469452659309933,1,0.0631185837573576,0.370192429889778,-0.844162653932758,-0.625764609520796,-0.58316924624896,0.235436189720696,NA,0,"HabSubsmpl_25"
"S4",0.86,-0.0450867888945147,0.0631185837573576,1,0.780769230769231,0.256153846153846,0.230769230769231,0.69,0.962307692307692,NA,0,"HabSubsmpl_25"
"S5",0.931538461538462,-0.611947186021276,0.370192429889778,0.780769230769231,1,-0.242307692307692,-0.363846153846154,0.266153846153846,0.861538461538462,NA,0,"HabSubsmpl_25"
"S6",0.02,0.719076479292003,-0.844162653932758,0.256153846153846,-0.242307692307692,1,0.892307692307692,0.830769230769231,0.0415384615384615,NA,0,"HabSubsmpl_25"
"S7",-0.168461538461538,0.918306136201953,-0.625764609520796,0.230769230769231,-0.363846153846154,0.892307692307692,1,0.683846153846154,0.0346153846153846,NA,0,"HabSubsmpl_25"
"S8",0.512307692307692,0.407707885900825,-0.58316924624896,0.69,0.266153846153846,0.830769230769231,0.683846153846154,1,0.503846153846154,NA,0,"HabSubsmpl_25"
"S9",0.88,-0.211175729181146,0.235436189720696,0.962307692307692,0.861538461538462,0.0415384615384615,0.0346153846153846,0.503846153846154,1,NA,0,"HabSubsmpl_25"
"S10",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"HabSubsmpl_25"
"S1.1",1,NA,-0.323076923076923,0.773076923076923,-0.287692307692308,0.205384615384615,-0.0885296644157724,-0.0453846153846154,0.460691386310456,-0.0664671303568871,1,"HabSubsmpl_25"
"S2.1",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"HabSubsmpl_25"
"S3.1",-0.323076923076923,NA,1,-0.133076923076923,0.591538461538462,0.781538461538462,0.463433547637348,0.876153846153846,-0.0534075854926281,0.0230680040650373,1,"HabSubsmpl_25"
"S4.1",0.773076923076923,NA,-0.133076923076923,1,-0.524615384615385,0.217692307692308,-0.43110097454637,0.264615384615385,0.851667527435879,-0.613061531762347,1,"HabSubsmpl_25"
"S5.1",-0.287692307692308,NA,0.591538461538462,-0.524615384615385,1,0.517692307692308,0.907621516053875,0.282307692307692,-0.64863716426543,0.689303240112893,1,"HabSubsmpl_25"
"S6.1",0.205384615384615,NA,0.781538461538462,0.217692307692308,0.517692307692308,1,0.597382779014256,0.821538461538462,0.169599660801018,0.0578655017224664,1,"HabSubsmpl_25"
"S7.1",-0.0885296644157724,NA,0.463433547637348,-0.43110097454637,0.907621516053875,0.597382779014256,1,0.22247889579268,-0.583447812763923,0.737179477006734,1,"HabSubsmpl_25"
"S8.1",-0.0453846153846154,NA,0.876153846153846,0.264615384615385,0.282307692307692,0.821538461538462,0.22247889579268,1,0.360806970694473,-0.333899584263421,1,"HabSubsmpl_25"
"S9.1",0.460691386310456,NA,-0.0534075854926281,0.851667527435879,-0.64863716426543,0.169599660801018,-0.583447812763923,0.360806970694473,1,-0.857064563006265,1,"HabSubsmpl_25"
"S10.1",-0.0664671303568871,NA,0.0230680040650373,-0.613061531762347,0.689303240112893,0.0578655017224664,0.737179477006734,-0.333899584263421,-0.857064563006265,1,1,"HabSubsmpl_25"
