"","R1","R2","R3","repl","d"
"1",0,0.915384615384615,0,0,"HabSubsmpl_25"
"2",0,0,0,0,"HabSubsmpl_25"
"3",0,0,0.918461538461539,0,"HabSubsmpl_25"
"4",0,0,0,0,"HabSubsmpl_25"
"5",0,0,0,0,"HabSubsmpl_25"
"6",0,0.753753634115901,0,0,"HabSubsmpl_25"
"7",0,0,0.978461538461538,0,"HabSubsmpl_25"
"8",0.963076923076923,0,0,0,"HabSubsmpl_25"
"9",0,0,0.936718617058362,0,"HabSubsmpl_25"
"10",0.952307692307692,0,0,0,"HabSubsmpl_25"
"11",0,0,0,1,"HabSubsmpl_25"
"12",0,0,0,1,"HabSubsmpl_25"
"13",0,0.747692307692308,0,1,"HabSubsmpl_25"
"14",0,0,0.924615384615385,1,"HabSubsmpl_25"
"15",0,0,0,1,"HabSubsmpl_25"
"16",0,0.802307692307692,0,1,"HabSubsmpl_25"
"17",0.704252353535116,0,0,1,"HabSubsmpl_25"
"18",0,0,0.770769230769231,1,"HabSubsmpl_25"
"19",0,-0.726012908352698,0,1,"HabSubsmpl_25"
"20",0,0.926153846153846,0,1,"HabSubsmpl_25"
