"","R1","R2","R3","repl","err","n_nms","Ridx","d"
"25",0.312557223651337,0.422285353143212,0.291506220143271,0,0,"H25",25,"HabSubsmpl_25"
"22",0.207197819688023,0.143458854569732,0.473816027085073,0,0,"H22",22,"HabSubsmpl_25"
"24",0.394944623504795,0.27201854835951,0.230384904383809,0,0,"H24",24,"HabSubsmpl_25"
"21",0.36232727730719,0.0946026268219713,0.45801565644147,0,0,"H21",21,"HabSubsmpl_25"
"4",0.316860923286242,0.220413132097414,0.437383648265581,0,0,"H4",4,"HabSubsmpl_25"
"9",0.24004647095878,0.248284166441552,0.122302082479876,0,0,"H9",9,"HabSubsmpl_25"
"6",0.183627846266326,0.270203780087851,0.249270759646574,0,0,"H6",6,"HabSubsmpl_25"
"2",0.253636883622317,0.144321634633867,0.301335565091299,0,0,"H2",2,"HabSubsmpl_25"
"20",0.235529880288424,0.0901679521106902,0.223181066367155,0,0,"H20",20,"HabSubsmpl_25"
"16",0.155680533865856,0.152003119842802,0.308505804321074,0,0,"H16",16,"HabSubsmpl_25"
"12",0.23752223041791,0.509355478388177,0.228954449500086,0,0,"H12",12,"HabSubsmpl_25"
"3",0.182872851223243,0.039810675719627,0.239919379826901,0,0,"H3",3,"HabSubsmpl_25"
"10",0.104668002223483,0.323901469646171,0.244949774106529,0,0,"H10",10,"HabSubsmpl_25"
"18",0.310950953730052,0.541560007872866,0.191680847021763,0,0,"H18",18,"HabSubsmpl_25"
"11",0.136456469917142,0.189981172899407,0.518276363766223,0,0,"H11",11,"HabSubsmpl_25"
"8",0.159504975907547,0.222832349177178,0.106208450822881,0,0,"H8",8,"HabSubsmpl_25"
"15",0.202317688931055,0.405851721772088,0.384720004267555,0,0,"H15",15,"HabSubsmpl_25"
"13",0.352912565604404,0.325021746595508,0.127579831403012,0,0,"H13",13,"HabSubsmpl_25"
"5",0.212388096739468,0.375663115760017,0.345212314666944,0,0,"H5",5,"HabSubsmpl_25"
"17",0.65529656364087,0.304089738816444,0.409660896455318,0,0,"H17",17,"HabSubsmpl_25"
"7",0.153167737691065,0.396656950571881,0.211243453020772,0,0,"H7",7,"HabSubsmpl_25"
"14",0.214149609388648,0.309048363316572,0.380156541111478,0,0,"H14",14,"HabSubsmpl_25"
"1",0.301026841309448,0.32687596481198,0.461388103633529,0,0,"H1",1,"HabSubsmpl_25"
"19",0.131229017396194,0.273374846031239,0.178702920207578,0,0,"H19",19,"HabSubsmpl_25"
"23",0.141239161665596,0.328994799693647,0.323588601113716,0,0,"H23",23,"HabSubsmpl_25"
"32",0.145325955614097,0.255685920563686,0.310273224946579,1,0,"H7",7,"HabSubsmpl_25"
"40",0.198805064962965,0.157627688176261,0.248874616967675,1,0,"H15",15,"HabSubsmpl_25"
"28",0.0395068037376379,0.239253502026079,0.298664053171636,1,0,"H3",3,"HabSubsmpl_25"
"31",0.0709442650352172,0.131003634470243,0.478428487879536,1,0,"H6",6,"HabSubsmpl_25"
"43",0.209881575818915,0.155304616144347,0.259733337892836,1,0,"H18",18,"HabSubsmpl_25"
"39",0.360879650721255,0.30625414068342,0.163172980787018,1,0,"H14",14,"HabSubsmpl_25"
"36",0.317952704455558,0.192602565437516,0.452560471326294,1,0,"H11",11,"HabSubsmpl_25"
"37",0.274582987332462,0.361234320115954,0.194656480992373,1,0,"H12",12,"HabSubsmpl_25"
"50",0.156710611519194,0.179703736292859,0.418122768438348,1,0,"H25",25,"HabSubsmpl_25"
"38",0.141605724383249,0.161269317818853,0.364541900253055,1,0,"H13",13,"HabSubsmpl_25"
"34",0.316521573960058,0.266367633984768,0.251712499579153,1,0,"H9",9,"HabSubsmpl_25"
"26",0.343249592531312,0.387413838530951,0.223120440263283,1,0,"H1",1,"HabSubsmpl_25"
"35",0.273573733299038,0.395161057861668,0.330517990962863,1,0,"H10",10,"HabSubsmpl_25"
"33",0.168258836453116,0.23205397601265,0.327650685499275,1,0,"H8",8,"HabSubsmpl_25"
"41",0.112194673483232,0.28896311493791,0.0983281510272825,1,0,"H16",16,"HabSubsmpl_25"
"42",0.280074321496407,0.193221006527726,0.314829126866142,1,0,"H17",17,"HabSubsmpl_25"
"47",0.492165117301925,0.214700908025529,0.372989923462733,1,0,"H22",22,"HabSubsmpl_25"
"27",0.235165349969427,0.313687588730532,0.188320844455568,1,0,"H2",2,"HabSubsmpl_25"
"49",0.201979410713301,0.163031671867296,0.405467557065139,1,0,"H24",24,"HabSubsmpl_25"
"29",0.408448896519097,0.176509056378088,0.275841596593846,1,0,"H4",4,"HabSubsmpl_25"
"30",0.187979852312021,0.156234986651379,0.365742129864559,1,0,"H5",5,"HabSubsmpl_25"
"48",0.258369126184754,0.0915724236737668,0.146230977514522,1,0,"H23",23,"HabSubsmpl_25"
"45",0.340893622176942,0.307214963392285,0.36909430715736,1,0,"H20",20,"HabSubsmpl_25"
"44",0.468642395576212,0.238331393899652,0.0781960337726385,1,0,"H19",19,"HabSubsmpl_25"
"46",0.167420457395948,0.199166187556449,0.224192286313561,1,0,"H21",21,"HabSubsmpl_25"
