"","N1","N2","correl","cooc","int","euc","euctrim","coocpos","coocneg","intpos","intneg","euctrimpos","euctrimneg","shrd_rsc_pos","shrd_rsc_neg","repl","d"
"11","S1","S2",0,0,0.22874268141984,0.762974755309539,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"21","S1","S3",0.404615384615385,0,0,0.663572320659276,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"22","S2","S3",0,0,0.482311161761287,0.410888736858506,0.410888736858506,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"31","S1","S4",0,0,0.117720895748963,0.751504450738302,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"32","S2","S4",0,0,0,0.260854175682864,0.260854175682864,0,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"33","S3","S4",0,0,0,0.629248864923271,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"41","S1","S5",0.781538461538462,0.781538461538462,0,0.516992337898368,0,1,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"42","S2","S5",0,0,0.287911767291486,0.27306386028332,0.27306386028332,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"43","S3","S5",0.781538461538462,0.781538461538462,0,0.45700233558846,0,1,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"44","S4","S5",0,0,0,0.254030507513131,0.254030507513131,0,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"51","S1","S6",-0.176504521624366,0,-0.122823223899069,0.964362111938499,0.964362111938499,0,0,1,0,0,1,0,0,0,"HabSubsmpl_25"
"52","S2","S6",0,0,0.359066458339978,0.872322096969429,0.872322096969429,0,0,0,1,0,1,0,0,0,"HabSubsmpl_25"
"53","S3","S6",0.0228802157661215,0,0.108504325701702,0.477085397148103,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"54","S4","S6",0,0,0,1.10509555418097,1.10509555418097,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"55","S5","S6",0.0228802157661215,0,0.297875828507068,0.926544266424563,0.926544266424563,0,0,0,1,0,1,0,0,0,"HabSubsmpl_25"
"61","S1","S7",0,0,0,0.114513411186482,0.114513411186482,0,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"62","S2","S7",0,0,0,0.874451175383979,0.874451175383979,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"63","S3","S7",0,0,0,0.773096422821665,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"64","S4","S7",0,0,0,0.84886646446898,0.84886646446898,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"65","S5","S7",0,0,0.314605985581703,0.622655229952028,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"66","S6","S7",0,0,0.229298630322029,1.04829729429399,1.04829729429399,0,0,0,1,0,1,0,0,0,"HabSubsmpl_25"
"71","S1","S8",0.958461538461538,0.958461538461538,-0.41947812801029,0.142518966261494,0.142518966261494,1,0,1,0,1,0,1,0,0,"HabSubsmpl_25"
"72","S2","S8",0,0,0.486228424659234,0.854334740919802,0.854334740919802,0,0,0,1,0,1,0,0,0,"HabSubsmpl_25"
"73","S3","S8",0.551538461538462,0,0,0.797820743718736,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"74","S4","S8",0,0,0.436384733498377,0.802696359255843,0.802696359255843,0,0,0,1,0,1,0,0,0,"HabSubsmpl_25"
"75","S5","S8",0.858461538461538,0.858461538461538,0,0.591583489528274,0,1,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"76","S6","S8",-0.0588348405414552,0,0.155258660899165,1.1063737570164,1.1063737570164,0,0,0,1,0,1,0,0,0,"HabSubsmpl_25"
"77","S7","S8",0,0,0.448318314345059,0.0916644897289269,0.0916644897289269,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"81","S1","S9",0.196153846153846,0,0.221642432686377,0.587787283943461,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"82","S2","S9",0,0,0.123256864814773,0.800758494246395,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"83","S3","S9",0.888461538461539,0.888461538461539,0,0.422150487466751,0.422150487466751,1,0,0,0,1,0,1,0,0,"HabSubsmpl_25"
"84","S4","S9",0,0,0.422242034964196,0.963682939466815,0.963682939466815,0,0,0,1,0,1,0,0,0,"HabSubsmpl_25"
"85","S5","S9",0.526923076923077,0,-0.282799554376537,0.728284950100187,0,0,0,1,0,0,0,0,0,0,"HabSubsmpl_25"
"86","S6","S9",0.129109788965971,0,0,0.408512095743612,0.408512095743612,0,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"87","S7","S9",0,0,0,0.656906158070747,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"88","S8","S9",0.375384615384615,0,0,0.725126488945595,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"91","S1","S10",0.742307692307692,0.742307692307692,0.143816989429534,0.563437960275727,0,1,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"92","S2","S10",0,0,0,0.513391849562974,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"93","S3","S10",0.803846153846154,0.803846153846154,0,0.144323650783788,0.144323650783788,1,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"94","S4","S10",0,0,0,0.697171030044229,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"95","S5","S10",0.873076923076923,0.873076923076923,0,0.484896458868541,0,1,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"96","S6","S10",0.0228802157661215,0,0.438783507047868,0.456411272592878,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"97","S7","S10",0,0,0,0.66662728908511,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"98","S8","S10",0.868461538461539,0.868461538461539,-0.438763818154909,0.70353471061308,0,1,0,1,0,0,0,0,0,0,"HabSubsmpl_25"
"99","S9","S10",0.717692307692308,0.717692307692308,0,0.290061869341174,0.290061869341174,1,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"111","S1","S2",-0.39193305484478,0,0.106354307821589,0.818928764543121,0.818928764543121,0,0,0,1,0,1,0,0,1,"HabSubsmpl_25"
"211","S1","S3",0.273042990300931,0,0.2904476594915,0.870079096337628,0.870079096337628,0,0,0,1,0,1,0,0,1,"HabSubsmpl_25"
"221","S2","S3",-0.832652827532023,-0.832652827532023,0,0.839403693070984,0.839403693070984,0,1,0,0,0,1,0,0,1,"HabSubsmpl_25"
"311","S1","S4",0.25356501788539,0,0,0.836899068856226,0.836899068856226,0,0,0,0,0,1,0,0,1,"HabSubsmpl_25"
"321","S2","S4",-0.765935931583187,-0.765935931583187,0.417744401684157,0.47785030590725,0,0,1,0,1,0,0,0,0,1,"HabSubsmpl_25"
"331","S3","S4",0.984603832937156,0.984603832937156,0,0.385122546891198,0.385122546891198,1,0,0,0,1,0,1,0,1,"HabSubsmpl_25"
"411","S1","S5",0.307544095612583,0,0,0.531251065940199,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"421","S2","S5",-0.856425470392704,-0.856425470392704,0.399350432968246,0.510054337104089,0,0,1,0,1,0,0,0,0,1,"HabSubsmpl_25"
"431","S3","S5",0.986867157034438,0.986867157034438,-0.275842387853967,0.428676527961671,0,1,0,1,0,0,0,1,0,1,"HabSubsmpl_25"
"441","S4","S5",0.969891399166782,0.969891399166782,0,0.308688315502666,0.308688315502666,1,0,0,0,1,0,1,0,1,"HabSubsmpl_25"
"511","S1","S6",-0.561045961580197,0,0.35938913697344,1.09587187355479,1.09587187355479,0,0,0,1,0,1,0,0,1,"HabSubsmpl_25"
"521","S2","S6",0.758634624477148,0.758634624477148,-0.181051002760143,0.297144919002227,0.297144919002227,1,0,1,0,1,0,0,0,1,"HabSubsmpl_25"
"531","S3","S6",-0.743771940059655,-0.743771940059655,0.403228863226354,0.900059699125299,0.900059699125299,0,1,0,1,0,1,0,0,1,"HabSubsmpl_25"
"541","S4","S6",-0.731907881136669,-0.731907881136669,0,0.516816415190808,0,0,1,0,0,0,0,0,0,1,"HabSubsmpl_25"
"551","S5","S6",-0.741952685708812,-0.741952685708812,0.341755459022646,0.694410512826897,0,0,1,0,1,0,0,0,0,1,"HabSubsmpl_25"
"611","S1","S7",0.330636451893108,0,0.257135038646989,0.131034150970497,0.131034150970497,0,0,0,1,1,0,0,0,1,"HabSubsmpl_25"
"621","S2","S7",0.442983874672665,0,0,0.727269355592211,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"631","S3","S7",-0.45573531594902,0,0,0.745968576030745,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"641","S4","S7",-0.448461538461539,0,0,0.707655623665962,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"651","S5","S7",-0.438613307903449,0,0.424320698977182,0.400877950713978,0.400877950713978,0,0,0,1,1,0,0,0,1,"HabSubsmpl_25"
"661","S6","S7",0.520445015057912,0,0,0.99244174530721,0.99244174530721,0,0,0,0,0,1,0,0,1,"HabSubsmpl_25"
"711","S1","S8",0.20748182031342,0,0,0.918053992912402,0.918053992912402,0,0,0,0,0,1,0,0,1,"HabSubsmpl_25"
"721","S2","S8",-0.722701960738555,0,0,0.666275079705494,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"731","S3","S8",0.973805855161787,0.973805855161787,0,0.235923523882772,0.235923523882772,1,0,0,0,1,0,1,0,1,"HabSubsmpl_25"
"741","S4","S8",0.992302064625484,0.992302064625484,0,0.188444835885718,0.188444835885718,1,0,0,0,1,0,1,0,1,"HabSubsmpl_25"
"751","S5","S8",0.950545499727767,0.950545499727767,0.165312957519701,0.397222063788449,0.397222063788449,1,0,0,1,1,0,1,0,1,"HabSubsmpl_25"
"761","S6","S8",-0.712952660775415,-0.712952660775415,0.444880424165758,0.679152684098836,0,0,1,0,1,0,0,0,0,1,"HabSubsmpl_25"
"771","S7","S8",-0.444187968416528,0,0,0.787156312585679,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"811","S1","S9",0.638536830753939,0,0,0.371099512608262,0.371099512608262,0,0,0,0,1,0,1,0,1,"HabSubsmpl_25"
"821","S2","S9",-0.0539556705250024,0,0,0.473028971288325,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"831","S3","S9",0.28560439563697,0,0,0.85550484627016,0.85550484627016,0,0,0,0,0,1,0,0,1,"HabSubsmpl_25"
"841","S4","S9",0.31,0,0,0.658750449192793,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"851","S5","S9",0.279538763135649,0,0,0.428160068579469,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"861","S6","S9",-0.119076177015222,0,0.252573375312604,0.765941620971111,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"871","S7","S9",0.565384615384615,0,0,0.321748858442666,0.321748858442666,0,0,0,0,1,0,0,0,1,"HabSubsmpl_25"
