"","repl","mn_rch_rsc","sd_rch_rsc","mn_simp_rsc","sd_simp_rsc","mn_shan_rsc","sd_shan_rsc","mn_bc_rsc","sd_bc_rsc","d"
"1",0,3,0,0.64219873223938,0.0211413495578722,1.06078844292893,0.0339383301199174,0.196007739042466,0.0883528457762499,"HabSubsmpl_25"
"2",1,3,0,0.622151260163115,0.0372192738498297,1.03226800533378,0.0550162441863433,0.246996562097879,0.0995721507675333,"HabSubsmpl_25"
