,nrep,errors,n_num,rsc_num,radius,rsc_cube_gen_rule,rsc_cube_gen_vals,sp_num,perc_comp,perc_facil,int_minmax,sp_ini_perc,D_set,var_sp_int,mean_sp_int,shape
0,0,0,25,3,0,fix_same,0,10,0.4,0.09999999999999998,0.5,1,0.0,0.040157215781295726,0.08076209945155671,100
0,1,0,25,3,0,fix_same,0,10,0.4,0.09999999999999998,0.5,1,0.0,0.03598580657945591,0.10785030051091397,100
