,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,savesteps
0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0
1,0.0010201570790178026,0.0010201594615574803,0.0010201384163555035,0.001020144021771723,0.0010201274644689397,0.001020152281387167,0.0010201284636546847,0.0010201585223143454,0.0010201564279983487,0.001020130661803389,50.0
2,0.0010407195557541676,0.0010407244657743505,0.0010406810959034999,0.0010406926473452243,0.0010406585270201288,0.0010407096687019858,0.0010406605860518758,0.001040722530146815,0.0010407182141148274,0.0010406651158126928,100.0
3,0.0028181456091831733,0.002818739392605102,0.0028135029913054044,0.00281489583270158,0.0028107855812719894,0.0028169506801579078,0.002811033286579077,0.0028185052821734593,0.002817983403267065,0.0028115783753896503,150.0
4,0.007581664943568124,0.007587450913146992,0.007536645434935357,0.007550111147342458,0.007510473764490594,0.007570040606772667,0.007512853999494709,0.007585168921301234,0.007580085480517905,0.007518095671365665,200.0
5,0.020048173074095833,0.020092516796855597,0.019707473819405564,0.019808582772149304,0.019512872609252378,0.019959470433519644,0.019530467588105577,0.020075012267438366,0.020036090320835472,0.01956928727488297,250.0
6,0.05074241071356996,0.05103654971756305,0.048550574495026,0.04918875370016843,0.04735028084403536,0.05016027937288072,0.04745732375451052,0.0509201883556004,0.05066262702103887,0.04769452301890437,300.0
7,0.11617711839038335,0.11774844282152981,0.10518212331511405,0.10825949725591015,0.09964773271069556,0.11313690063162136,0.1001284023484252,0.11712394886165264,0.11575502780054134,0.10120234058072233,350.0
8,0.22103617448769006,0.2268186981832035,0.1842426667539841,0.19393912418047074,0.16784630230960398,0.21024298491286542,0.16922025323922135,0.22450336131986107,0.21950705240064103,0.17232347903293904,400.0
9,0.3309124648792593,0.3440641886444511,0.2546610175638565,0.27359691946046033,0.2243261062422731,0.3072618937363973,0.22679082442604917,0.3387566320773581,0.32749189179370974,0.23240839769857669,450.0
10,0.40496994780335804,0.4248553621139453,0.29632596789061844,0.32229633341649716,0.2560187686792523,0.3700889146018723,0.2592359059653662,0.41678740269733244,0.3998560467147663,0.26660607256624763,500.0
11,0.4413026659418197,0.46502584503450695,0.31530363823847407,0.34487953294266693,0.2700545271782874,0.4001920505212057,0.2736372885057991,0.4553754906561236,0.4352356467256049,0.2818637900035358,550.0
12,0.4563650238892103,0.4817839055694211,0.32291149290076904,0.3540047825812067,0.27561318042593413,0.4125365537358149,0.2793462537901704,0.47143246374191655,0.44987934678032193,0.2879256429111023,600.0
13,0.4621681491295867,0.48825682958791106,0.32580346730838444,0.3574844683612284,0.27771610992199636,0.41727165820790874,0.28150686503604766,0.4776281506176884,0.4555175010176977,0.2902218003175515,650.0
