,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,repl,err,sp_nms,Ridx
0,0.2100630855506888,0.16496563282797574,0.27251192008764397,0.23948552607687335,0.1708221126332957,0.26015887905243185,0.2078456432983956,0.29647229801259306,0.2691862772401744,0.24535552380390863,0,0,H1,1
1,0.18522562013356195,0.17038679442528012,0.25603977963111646,0.2955804859281726,0.18038923069940427,0.2244272112245073,0.1529359596234002,0.1804406155085793,0.16185303020895492,0.2868999275631676,0,0,H2,2
2,0.18061814663628292,0.1732007376439287,0.18838157908385128,0.1804346455853195,0.17376108802347354,0.18772421813453766,0.18182800911617827,0.19648755802593323,0.19247911441649201,0.1819295633120556,0,0,H3,3
3,0.2006625850942424,0.1910769080154027,0.3085037825356432,0.3963177239031113,0.20751433047948734,0.25405112456287204,0.14081618180016642,0.15653685890985433,0.13265852962227476,0.37760063463386206,0,0,H4,4
4,0.20817001541893568,0.1769007652755169,0.26541806744876156,0.25650569801486617,0.18320225183136965,0.24920880887944577,0.19787520279036927,0.2588665440234156,0.23728078941960914,0.2576311513363716,0,0,H5,5
5,0.15527796450822715,0.11662852178910862,0.19236501315612192,0.147581529320537,0.11900764204451288,0.19078412340106787,0.1636951194600727,0.24019167857657986,0.2199484916311985,0.15608149894130746,0,0,H6,6
6,0.22466881234659555,0.22979207385820055,0.22449315444573933,0.23518338120995175,0.23023828259871418,0.22210471863731185,0.22057669014779116,0.2102802545956476,0.21205738842742775,0.23305584966675716,0,0,H7,7
7,0.2636566007864759,0.2622139700506818,0.2727203998401398,0.27874993386644226,0.26353651083322455,0.2684527061864409,0.25914913870008166,0.2617513044497646,0.25952761037941846,0.2774459340743339,0,0,H8,8
8,0.26386367939984434,0.24733285841873806,0.23866656697564295,0.17833677450706545,0.2417540480875759,0.260492853282386,0.29324351973714013,0.32731549641644003,0.32650667233973735,0.1906407072112363,0,0,H9,9
9,0.23718178268563014,0.20707672505955782,0.27129417707398595,0.24165020145779495,0.20976919095880894,0.2671996277881448,0.24045797921972553,0.2998709259136305,0.2831042400289246,0.24716810518032967,0,0,H10,10
10,0.285481112685428,0.28623218192806005,0.25065868268931996,0.21733114539195064,0.2807073820224032,0.2693785990506845,0.30672864590068166,0.30636623461662704,0.3132788822286758,0.22436541961341255,0,0,H11,11
11,0.38706641038870404,0.400583384005261,0.3695621715829609,0.38067796019578015,0.3990229746773244,0.37259971298142275,0.38696917524453617,0.3603652770303671,0.3683116910205591,0.37866238096647137,0,0,H12,12
12,0.3136611121586076,0.279201619761518,0.3746066238994844,0.3626356645778557,0.2858016911250666,0.3579182189733439,0.30366164376790594,0.37094627182779505,0.3475679634953051,0.36432842230769164,0,0,H13,13
13,0.16318011534458696,0.11118863986076405,0.23464201123003484,0.19603192987588455,0.11785469458956525,0.2206929250781138,0.1609586305251324,0.26315117813415245,0.2317959400807008,0.20291189288325617,0,0,H14,14
14,0.215598704037014,0.20955481369648804,0.20766831523497975,0.1868965586313498,0.20772108593360383,0.21494570055157214,0.22553544332243314,0.23795035539544912,0.23740955435310587,0.19112438683363156,0,0,H15,15
15,0.1959257236061462,0.14884262670017093,0.33244277735297423,0.3694817704294435,0.16641456117224213,0.28046020740814276,0.1488325660257076,0.23901049918753314,0.19688901753620983,0.36055365817489266,0,0,H16,16
16,0.2966415712376262,0.2849324316737312,0.3199559637355892,0.31850109520391057,0.2875936741602652,0.31285743887788064,0.2916079486573256,0.3143849959707396,0.3059430921404371,0.3185262290173553,0,0,H17,17
17,0.2689983640079205,0.21041321366135396,0.3355073730857932,0.277945339874527,0.21567297560645385,0.3274705115707547,0.2752951312081578,0.39090998655250225,0.35825763187922943,0.28865681786138087,0,0,H18,18
18,0.2754788908369522,0.26184987535245624,0.2991621195407241,0.2940050913886156,0.2643925866678435,0.2927925673309483,0.27178848982684534,0.2984140045533842,0.28924821593602795,0.29476351940026424,0,0,H19,19
19,0.22625412252264426,0.2382713641562841,0.219599291529887,0.23841414301151098,0.23831507246616992,0.2174182429232475,0.22057515114930346,0.19662938086686396,0.20199131120643415,0.23474171734663518,0,0,H20,20
20,0.22129767131753625,0.18516564046492912,0.28011313903813756,0.2624586989155045,0.19126863054874704,0.26540324455969716,0.21400748984232035,0.2847255947604407,0.26118528949441094,0.26530780500051115,0,0,H21,21
21,0.20494929812244142,0.18992235005659167,0.1740573140358245,0.11120630128483994,0.18356790068655732,0.19827527689675217,0.23667115171711398,0.26790675846175616,0.2686984288197978,0.12407712070334707,0,0,H22,22
22,0.37368832909242466,0.36735185914819535,0.31675529727462837,0.24622226841376577,0.35761858335248936,0.3510301129235053,0.41463185237264577,0.42925043723983025,0.4379779555054049,0.260919004061956,0,0,H23,23
23,0.18453926505052048,0.17838435168983535,0.20968092162380664,0.22183891654824167,0.1818534882542851,0.19888726316792638,0.17380246251119266,0.1853504344981709,0.1784494299611279,0.2191315821915452,0,0,H24,24
