"","N1","N2","correl","cooc","int","euc","euctrim","coocpos","coocneg","intpos","intneg","euctrimpos","euctrimneg","shrd_rsc_pos","shrd_rsc_neg","repl","d"
"11","S1","S2",0.938461538461539,0.938461538461539,0,0.304175168080355,0.304175168080355,1,0,0,0,1,0,1,0,0,"HabSubsmpl_25"
"21","S1","S3",0.658461538461538,0,0,0.587222165457976,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"22","S2","S3",0.49,0,0,0.849370245081475,0.849370245081475,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"31","S1","S4",0.434615384615385,0,0,0.769858574590627,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"32","S2","S4",0.35,0,0,0.928268017529662,0.928268017529662,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"33","S3","S4",0.881538461538462,0,0,0.398465017217163,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"41","S1","S5",0.954615384615385,0.954615384615385,0,0.263604390768589,0.263604390768589,1,0,0,0,1,0,1,0,0,"HabSubsmpl_25"
"42","S2","S5",0.993846153846154,0.993846153846154,0,0.0739399181038297,0.0739399181038297,1,0,0,0,1,0,1,0,0,"HabSubsmpl_25"
"43","S3","S5",0.541538461538462,0,0,0.783520629857095,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"44","S4","S5",0.403846153846154,0,0,0.85433098984624,0.85433098984624,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"51","S1","S6",0.843846153846154,0,0,0.393022562354873,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"52","S2","S6",0.69,0,0,0.682000151141438,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"53","S3","S6",0.931538461538462,0.931538461538462,0,0.22321857788189,0.22321857788189,1,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"54","S4","S6",0.719230769230769,0,0,0.556420800903743,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"55","S5","S6",0.726923076923077,0,0,0.624563734502924,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"61","S1","S7",0.929230769230769,0.929230769230769,0,0.227780705912947,0.227780705912947,1,0,0,0,1,0,1,0,0,"HabSubsmpl_25"
"62","S2","S7",0.898461538461538,0.898461538461538,0,0.343265205272751,0.343265205272751,1,0,0,0,1,0,1,0,0,"HabSubsmpl_25"
"63","S3","S7",0.423846153846154,0,0,0.772467486462321,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"64","S4","S7",0.122307692307692,0,0,0.994357814196893,0.994357814196893,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"65","S5","S7",0.892307692307692,0.892307692307692,0,0.352794885319913,0.352794885319913,1,0,0,0,1,0,1,0,0,"HabSubsmpl_25"
"66","S6","S7",0.686923076923077,0,0,0.556441779236416,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"71","S1","S8",0.771538461538462,0,0,0.600587662838234,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"72","S2","S8",0.589230769230769,0,0,0.888476310481994,0.888476310481994,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"73","S3","S8",0.56,0,0,0.597509932117784,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"74","S4","S8",0.142307692307692,0,0,0.984056477091747,0.984056477091747,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"75","S5","S8",0.610769230769231,0,0,0.861100397949359,0.861100397949359,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"76","S6","S8",0.755384615384615,0,0,0.441161875013668,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"77","S7","S8",0.83,0,0,0.596379930068882,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"81","S1","S9",0.842307692307692,0,0,0.470612522575872,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"82","S2","S9",0.698461538461539,0,0,0.729985379494308,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"83","S3","S9",0.523846153846154,0,0,0.668063798853454,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"84","S4","S9",0.129230769230769,0,0,1.01885654241626,1.01885654241626,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"85","S5","S9",0.710769230769231,0,0,0.71472679541598,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"86","S6","S9",0.743846153846154,0,0,0.464280075798986,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"87","S7","S9",0.91,0.91,0,0.411293917424939,0,1,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"88","S8","S9",0.977692307692308,0.977692307692308,0,0.204450578850135,0.204450578850135,1,0,0,0,1,0,1,0,0,"HabSubsmpl_25"
"91","S1","S10",0.53,0,0,0.713713212112802,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
