,R1,R2,R3,repl,err,n_nms,Ridx
0,0.2547881728359115,0.13260217615806996,0.3430927685207036,0,0,H1,1
1,0.32319399890433026,0.13610307389772947,0.16170037518298408,0,0,H2,2
2,0.18182508349823018,0.1690569329837366,0.20585577676108438,0,0,H3,3
3,0.4420478568756417,0.13973272247077104,0.10232990790897542,0,0,H4,4
4,0.2733811606105282,0.14790266997288753,0.2817352099044878,0,0,H5,5
5,0.153314941269218,0.09661904562531011,0.29128781437222945,0,0,H6,6
6,0.2365526975236736,0.23021551277030522,0.20029305476945763,0,0,H7,7
7,0.28241338652274744,0.2578562345584096,0.25845185734835213,0,0,H8,8
8,0.1623459669570647,0.2580806521223423,0.37700822660551037,0,0,H9,9
9,0.24846275148237887,0.18903436752045372,0.3361289629154526,0,0,H10,10
10,0.2019020262129176,0.3026555043689171,0.3284941336875244,0,0,H11,11
11,0.3766363722753413,0.4097130710723998,0.34556911011741503,0,0,H12,12
12,0.3802701386754711,0.24825275149800521,0.39760123856122875,0,0,H13,13
13,0.21343426704239485,0.07412862882560894,0.317260176591676,0,0,H14,14
14,0.18162595548255864,0.21288155406712034,0.25524948454878815,0,0,H15,15
15,0.4174928509260944,0.08152051381542336,0.2393299276377006,0,0,H16,16
16,0.3256634987906592,0.27319110904887284,0.32167571369354603,0,0,H17,17
17,0.29125908838767317,0.17524335795627102,0.46138389970065813,0,0,H18,18
18,0.3007904667835108,0.24980740017774006,0.30924185597271586,0,0,H19,19
19,0.23882192068173155,0.24219993139979143,0.17743577023110002,0,0,H20,20
20,0.27866362190862454,0.15510703733342565,0.3161240217399079,0,0,H21,21
21,0.09308259673225633,0.20344789867881266,0.31849400719024523,0,0,H22,22
22,0.2188581099869791,0.3936999633335224,0.48035033021819196,0,0,H23,23
23,0.23139212546031457,0.16615337444613082,0.1804458450864072,0,0,H24,24
24,0.41177509199967544,0.29975428062682946,0.2664014163942112,0,0,H25,25
0,0.40834055441634076,0.24846526375419603,0.16400666927696264,1,0,H1,1
1,0.13775195179446584,0.17060746240389504,0.18987232167048065,1,0,H2,2
2,0.171053966338643,0.2717268448128434,0.3817948108650582,1,0,H3,3
3,0.19069108353888653,0.11653569440879201,0.06287413129950971,1,0,H4,4
4,0.2910649764819162,0.35020951639531966,0.17783874498105864,1,0,H5,5
5,0.198108697072136,0.19064600261023684,0.18059627224707064,1,0,H6,6
6,0.16595898407831988,0.15627606244864162,0.14920665642062952,1,0,H7,7
7,0.21569123416207722,0.10669050937094687,0.32193860629406873,1,0,H8,8
8,0.4310449106302399,0.21468699133292593,0.10305892075792746,1,0,H9,9
9,0.1427053264973307,0.0864157836245654,0.31238707796569826,1,0,H10,10
10,0.13187991891813977,0.24313103738577177,0.22984071724566096,1,0,H11,11
11,0.22740137157024826,0.17516687363245195,0.3070256082902595,1,0,H12,12
12,0.20927954350165054,0.32995119653367616,0.1386035957567812,1,0,H13,13
13,0.27941795187996227,0.08733053571656348,0.19620826814022824,1,0,H14,14
14,0.34535548172647385,0.2060873955009039,0.11005114848455483,1,0,H15,15
15,0.2594526397071245,0.18908597026299165,0.21106237237514516,1,0,H16,16
16,0.45543108136874977,0.257776129892039,0.2353445336454132,1,0,H17,17
17,0.39868857022448106,0.293330708199957,0.41882334290171425,1,0,H18,18
18,0.3738566488148105,0.24737007376542983,0.3033524137506661,1,0,H19,19
19,0.12424033153843858,0.15966009842260664,0.46676190677547746,1,0,H20,20
20,0.22078155922624573,0.4400378477156312,0.13298340443098733,1,0,H21,21
21,0.16084844401218346,0.1518123509787262,0.3191307225163127,1,0,H22,22
22,0.434054002468455,0.20679739951784873,0.23688803528384125,1,0,H23,23
23,0.36889302185803713,0.27092662378686244,0.4360314494477465,1,0,H24,24
24,0.10339852427072282,0.0939733061210104,0.5138266783528829,1,0,H25,25
