,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,savesteps
0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0
1,0.0010200088036859082,0.001020049497262973,0.0010200846524404106,0.0010200325638325062,0.0010201234936584827,0.0010200818438208803,0.0010200992596136869,0.0010200638069287854,0.0010200785624713588,0.0010201415882615786,50.0
2,0.0010404140222256704,0.001040497870250904,0.0010405703096291387,0.001040462980449487,0.0010406503455227007,0.0010405645235209593,0.0010406004103555187,0.0010405273555479122,0.0010405577619892656,0.0010406876325088443,100.0
3,0.002781583574736153,0.002791571710935414,0.002800232400949806,0.002787426667722106,0.002809813649838067,0.0027995532369159497,0.0028038493391041486,0.0027950903574369447,0.0027987436918631005,0.0028142917268672166,150.0
4,0.0072351404829428265,0.007328672530561958,0.007410556452238449,0.007290134832130459,0.007501446217140561,0.007404452133371985,0.00744521246208023,0.007361778549079105,0.007396769257532005,0.0075442856769448036,200.0
5,0.017570533367860866,0.018219314914981577,0.01880105859272299,0.0179570096307078,0.019451922547968535,0.018763464812425332,0.019055755041521176,0.01845170538755578,0.018708357434674142,0.019765142465724937,250.0
6,0.036656727090453076,0.0401021916259068,0.04335882414615206,0.038773651267368245,0.047058338382511895,0.043224399896427415,0.04490002243758182,0.041369669076639144,0.042909076520438294,0.04891959326572266,300.0
7,0.05873455212296804,0.07119040840232625,0.08408706545878963,0.06686973548053547,0.09898187684904436,0.08414615834967233,0.09114519262046747,0.07598560959059185,0.08284658734596703,0.1070230646792325,350.0
8,0.06849918462723045,0.0972318924937163,0.1304555064265089,0.08899848838893222,0.16849472568903576,0.13280764429757175,0.15251797152382573,0.10875308002731354,0.1293128249854625,0.19048240959554275,400.0
9,0.061880515908848445,0.10825914139368123,0.16710222423781387,0.09796125133557695,0.23038456548968664,0.1748655423341809,0.21320634770314423,0.126440756389558,0.16877163295088068,0.26838680906178924,450.0
10,0.04809500443451206,0.1089071340220341,0.1910455530576302,0.09825169170163633,0.26945660032464397,0.2040372402854008,0.2605664538839552,0.12980391838687133,0.19690844458490595,0.31791029961415235,500.0
11,0.03465964796073667,0.10636836749055283,0.2074053722281374,0.09540426430754961,0.2893960124997104,0.22173127598810816,0.2917677138341408,0.12537303209737768,0.21654417203014095,0.34284713029255265,550.0
12,0.02404582614380788,0.10410930238030953,0.22053499326789924,0.09202006269799724,0.2983131940863455,0.23148004502580427,0.31042002432748617,0.11783801223599688,0.23138673502301635,0.3540101396240012,600.0
13,0.016307355668185426,0.10308956343458237,0.2324001432236624,0.08887375061528655,0.3015810782939464,0.2362420245773155,0.32115965953274495,0.10939720995852795,0.24383084193680546,0.35847115470581953,650.0
14,0.010865316322875573,0.1033544543408253,0.24361009327738425,0.08605473812878865,0.3019364058943694,0.23796670443552778,0.3273276077135352,0.10090099586665967,0.2550672489666301,0.35974842199104057,700.0
15,0.0071205522389231465,0.10471458893227834,0.2542560925664386,0.083467469284619,0.3006976347480531,0.23785078729524137,0.3309107198787532,0.09265002658389486,0.2655923158847054,0.35950233753255334,750.0
16,0.004590038675195632,0.10695654670496896,0.26429362675138673,0.08100067842803615,0.298522363771674,0.2366279953260488,0.3330202357734547,0.08475060304507138,0.2755737508516936,0.3585313376580319,800.0
17,0.002910345236109327,0.10989253797489129,0.2736770181164547,0.07857215128864883,0.29576637854373033,0.2347593490565401,0.3342754714685951,0.07724487914989465,0.28504803871132683,0.3572335920667586,850.0
18,0.0018155090017423366,0.1133643801910858,0.28239202163369115,0.07613274079302733,0.29264246755775064,0.23254165268378763,0.3350281724807764,0.07015278832016286,0.2940125311506859,0.35581397344914506,900.0
19,0.0011147905355410556,0.11723778572532118,0.2904534523320047,0.07365941511121608,0.28929074434780744,0.2301682056348983,0.3354825003300022,0.06348427960377609,0.3024621780861527,0.35437945702377444,950.0
20,0.0,0.12142158168183266,0.2981000934248543,0.07117721814317739,0.28581082046018097,0.2278513768773727,0.3359105754977727,0.05722866106263738,0.3105269571841289,0.35298459469020554,1000.0
21,0.0,0.12577636749882015,0.30502091003181137,0.0686356391804888,0.28227249329331205,0.22549304278742316,0.33607668154184245,0.05138494606282611,0.31801405917055514,0.35165109303648817,1050.0
22,0.0,0.13021867289955436,0.3113250722299948,0.06606198942318148,0.27873608085148127,0.22320096669931036,0.33613172606504604,0.04597087560536637,0.3249675668431346,0.35039546454208603,1100.0
23,0.0,0.13467817814281902,0.31711410668290085,0.06348300446594149,0.2752522306887355,0.22103799152300693,0.33615123558211607,0.040979703321526464,0.3314415667343303,0.3492256513471418,1150.0
24,0.0,0.13909194294528057,0.32244388693360043,0.0609189083044659,0.27185976302044745,0.2190262303932055,0.3361559618665589,0.036397639000215004,0.3374686557176472,0.34814130130280196,1200.0
25,0.0,0.14340680686930013,0.3273508861053877,0.058386992681494415,0.26858810126781024,0.2171708476852996,0.3361501839093857,0.0322089103501103,0.3430720136683489,0.3471384241559699,1250.0
26,0.0,0.14757997307321954,0.33186258891548515,0.05590249814200153,0.26545934759136813,0.2154698014799346,0.3361337760636894,0.02839677330069136,0.3482704992999732,0.3462120878214878,1300.0
