"","N1","N2","correl","cooc","int","euc","euctrim","coocpos","coocneg","intpos","intneg","euctrimpos","euctrimneg","shrd_rsc_pos","shrd_rsc_neg","repl","d"
"11","S1","S2",0.139199539700844,0,0.403039078690005,0.484091485595889,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"21","S1","S3",0.571573528939221,0,0.207767856047689,0.417351357722076,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"22","S2","S3",0.639230769230769,0,0.226275807972108,0.141168426573805,0.141168426573805,0,0,0,1,1,0,0,0,0,"HabSubsmpl_25"
"31","S1","S4",0,0,0,0.553290953103877,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"32","S2","S4",0,0,0,0.544017155045855,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"33","S3","S4",0,0,0.38942893850768,0.624662782853826,0,0,0,0,1,0,0,0,0,0,"HabSubsmpl_25"
"41","S1","S5",-0.162529071494282,0,0,0.757440703018889,0.757440703018889,0,0,0,0,0,1,0,0,0,"HabSubsmpl_25"
"42","S2","S5",-0.692307692307692,0,0,0.818933932843674,0.818933932843674,0,0,0,0,0,1,0,1,0,"HabSubsmpl_25"
"43","S3","S5",-0.0953846153846154,0,-0.364730228884555,0.896767333663462,0.896767333663462,0,0,1,0,0,1,0,0,0,"HabSubsmpl_25"
"44","S4","S5",0,0,0,0.274976451053736,0.274976451053736,0,0,0,0,1,0,0,0,0,"HabSubsmpl_25"
"51","S1","S6",0.336722908885283,0,0,0.659670113488675,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"52","S2","S6",0.713076923076923,0.713076923076923,0,0.178457604160566,0.178457604160566,1,0,0,0,1,0,1,0,0,"HabSubsmpl_25"
"53","S3","S6",0.939230769230769,0.939230769230769,0,0.298618892918188,0,1,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
