,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,repl,err,sp_nms,Ridx
0,0.0,0.4840914855958895,0.41735135772207616,0.553290953103877,0.7574407030188886,0.6596701134886753,0.5896615547603296,0.2542500011503899,0.8831417895821041,0.3559200976049049,0,0,S1,1
1,0.4840914855958895,0.0,0.14116842657380502,0.5440171550458548,0.8189339328436742,0.17845760416056647,0.15777051615017834,0.386903776308026,0.8872097703397588,0.5463584744758669,0,0,S2,2
2,0.41735135772207616,0.14116842657380502,0.0,0.6246627828538265,0.8967673336634615,0.2986188929181883,0.29893630165305884,0.40161282688192673,0.9800927918619424,0.5736771044108029,0,0,S3,3
3,0.553290953103877,0.5440171550458548,0.6246627828538265,0.0,0.27497645105373597,0.6098692735220992,0.4863367193201212,0.3063526193705739,0.35957151295614104,0.23575453090297366,0,0,S4,4
4,0.7574407030188886,0.8189339328436742,0.8967673336634615,0.27497645105373597,0.0,0.8754991393082829,0.7527830714527518,0.5420120548320636,0.14185073301797832,0.40153292572760046,0,0,S5,5
5,0.6596701134886753,0.17845760416056647,0.2986188929181883,0.6098692735220992,0.8754991393082829,0.0,0.1235399890854521,0.5306875255794801,0.9179514491250896,0.6713498313608062,0,0,S6,6
6,0.5896615547603296,0.15777051615017834,0.29893630165305884,0.4863367193201212,0.7527830714527518,0.1235399890854521,0.0,0.42763378534440205,0.7991308955594039,0.5568010004029024,0,0,S7,7
7,0.2542500011503899,0.386903776308026,0.40161282688192673,0.3063526193705739,0.5420120548320636,0.5306875255794801,0.42763378534440205,0.0,0.6542175294823683,0.17290546627007392,0,0,S8,8
8,0.8831417895821041,0.8872097703397588,0.9800927918619424,0.35957151295614104,0.14185073301797832,0.9179514491250896,0.7991308955594039,0.6542175294823683,0.0,0.5294434957110703,0,0,S9,9
9,0.3559200976049049,0.5463584744758669,0.5736771044108029,0.23575453090297366,0.40153292572760046,0.6713498313608062,0.5568010004029024,0.17290546627007392,0.5294434957110703,0.0,0,0,S10,10
0,0.0,0.6458226863625807,0.37395535024851895,0.4451619609728173,0.036320654617612906,0.12021290974383447,0.45951703209457767,0.92469263160574,0.03929420342523604,0.04447569642000671,1,0,S1,1
1,0.6458226863625807,0.0,0.2753970682951897,0.25654147647036696,0.6423989282437345,0.7614049692422141,1.1045013271380941,0.7871447897868474,0.6708761005659114,0.6510616481075371,1,0,S2,2
2,0.37395535024851895,0.2753970682951897,0.0,0.11121105128253253,0.3680332638613859,0.49209793021542425,0.8334611666328028,0.7528672935957176,0.40197268904900274,0.38413513606276994,1,0,S3,3
3,0.4451619609728173,0.25654147647036696,0.11121105128253253,0.0,0.43157101389724606,0.5653741971389755,0.8992032927189952,0.6481940339012636,0.4780368835642938,0.46362797960555546,1,0,S4,4
4,0.036320654617612906,0.6423989282437345,0.3680332638613859,0.43157101389724606,0.0,0.13919173345973687,0.46813978198122963,0.892219251509419,0.07282198726988565,0.08078153124732063,1,0,S5,5
5,0.12021290974383447,0.7614049692422141,0.49209793021542425,0.5653741971389755,0.13919173345973687,0.0,0.3433459535613759,1.0202934830562882,0.0905324905699862,0.11132934086358327,1,0,S6,6
6,0.45951703209457767,1.1045013271380941,0.8334611666328028,0.8992032927189952,0.46813978198122963,0.3433459535613759,0.0,1.25907092998117,0.4337727326656524,0.45442501474089875,1,0,S7,7
7,0.92469263160574,0.7871447897868474,0.7528672935957176,0.6481940339012636,0.892219251509419,1.0202934830562882,1.25907092998117,0.0,0.9638337804995767,0.9640803529113878,1,0,S8,8
8,0.03929420342523604,0.6708761005659114,0.40197268904900274,0.4780368835642938,0.07282198726988565,0.0905324905699862,0.4337727326656524,0.9638337804995767,0.0,0.024628067295543267,1,0,S9,9
9,0.04447569642000671,0.6510616481075371,0.38413513606276994,0.46362797960555546,0.08078153124732063,0.11132934086358327,0.45442501474089875,0.9640803529113878,0.024628067295543267,0.0,1,0,S10,10
