"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","repl","d"
"1",0,0,0,0.924615384615385,0,0,0.853846153846154,0.76,0,0,0,"HabSubsmpl_25"
"2",0,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"3",0,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"4",0.924615384615385,0,0,0,0,0,0.967692307692308,0.862307692307692,0,0,0,"HabSubsmpl_25"
"5",0,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"6",0,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"7",0.853846153846154,0,0,0.967692307692308,0,0,0,0.930769230769231,0,0,0,"HabSubsmpl_25"
"8",0.76,0,0,0.862307692307692,0,0,0.930769230769231,0,0,0,0,"HabSubsmpl_25"
"9",0,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"10",0,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"11",0,0,0,0,0.959230769230769,0.932307692307692,0.717692307692308,0,0,0.987692307692308,1,"HabSubsmpl_25"
"12",0,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"13",0,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"14",0,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"15",0.959230769230769,0,0,0,0,0.923846153846154,0.868461538461539,0,0,0.917692307692308,1,"HabSubsmpl_25"
"16",0.932307692307692,0,0,0,0.923846153846154,0,0.726153846153846,0,0,0.926153846153846,1,"HabSubsmpl_25"
"17",0.717692307692308,0,0,0,0.868461538461539,0.726153846153846,0,0,0.84,0,1,"HabSubsmpl_25"
"18",0,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"19",0,0,0,0,0,0,0.84,0,0,0,1,"HabSubsmpl_25"
"20",0.987692307692308,0,0,0,0.917692307692308,0.926153846153846,0,0,0,0,1,"HabSubsmpl_25"
