"","R1","R2","R3","repl","d"
"1",0,0,0,0,"HabSubsmpl_25"
"2",0,0,0,0,"HabSubsmpl_25"
"3",0,0,0,0,"HabSubsmpl_25"
"4",0,0,0,0,"HabSubsmpl_25"
"5",0,0,0,0,"HabSubsmpl_25"
"6",0,0,0,0,"HabSubsmpl_25"
"7",0.856153846153846,0,0,0,"HabSubsmpl_25"
"8",0,0.905384615384615,0,0,"HabSubsmpl_25"
"9",0,0,0,0,"HabSubsmpl_25"
"10",0,0,0.973846153846154,0,"HabSubsmpl_25"
"11",0.912307692307692,0,0,1,"HabSubsmpl_25"
"12",0.917692307692308,0,0,1,"HabSubsmpl_25"
"13",0,0,0,1,"HabSubsmpl_25"
"14",0,0.940769230769231,0,1,"HabSubsmpl_25"
"15",0,0,0.978461538461538,1,"HabSubsmpl_25"
"16",0,0,0,1,"HabSubsmpl_25"
"17",0,0,0.978461538461538,1,"HabSubsmpl_25"
"18",0.893846153846154,0,0,1,"HabSubsmpl_25"
"19",0,0,0,1,"HabSubsmpl_25"
"20",0.961538461538462,0,0,1,"HabSubsmpl_25"
