,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,savesteps
0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0
1,0.0010200277210409567,0.0010201059924872323,0.0010200521888446394,0.0010201272970522513,0.001020099629253997,0.0010200287837003616,0.0010201587999700734,0.0010200685773570826,0.0010201148247024078,0.0010201178413599612,50.0
2,0.0010404530016581257,0.001040614280741056,0.0010405034170539707,0.0010406581842727569,0.0010406011704955235,0.0010404551884022942,0.0010407231019717643,0.0010405371844344029,0.0010406324832088049,0.0010406386987389772,100.0
3,0.0027862343923850596,0.002805475484407131,0.0027922414759929347,0.00281076766408784,0.0028039244402607083,0.0027864657218291157,0.0028185705118689524,0.002796256507374682,0.0028076843356873524,0.0028084224570022703,150.0
4,0.007278881144464649,0.00745976902712036,0.007335175186140026,0.007510894798384845,0.00744552214710773,0.00728032037688085,0.0075857043514775966,0.007372579454384527,0.007481481967543467,0.007488327262293671,200.0
5,0.01787738108078561,0.01914381890915077,0.01826881177016889,0.019527123067547315,0.01905048278208702,0.01787438594909585,0.020077219775055458,0.01852438549766099,0.019313630717114887,0.01935945327025144,250.0
6,0.03833134504056249,0.045176834876722374,0.040428512934982196,0.04759362738612076,0.04476638835899255,0.03815220043013132,0.05090797776256233,0.04172434485006703,0.04634672917789841,0.04655363429538922,300.0
7,0.06512857800058827,0.09033405260415203,0.07294862261931781,0.10210860067968545,0.0897096583639556,0.06331297471074196,0.11683552394460571,0.07700147222381572,0.09692228563648214,0.09713232879092037,350.0
8,0.08441641783791738,0.14180291554494384,0.10397047443016975,0.18088918761049008,0.1447880452238877,0.07635703322725958,0.22276399125253066,0.10997662672337312,0.16791334287566775,0.16459191284679117,400.0
9,0.08920799283274562,0.1750697566351144,0.1252376887988227,0.2605287626537529,0.19097494732162326,0.07051979626427615,0.33498265590293097,0.12608225238964976,0.24284675650901924,0.22603016735400544,450.0
10,0.08451910859232555,0.18356888317001419,0.1393048361629807,0.3186732365024513,0.2203451200004026,0.05622412668400886,0.4143269706592883,0.12643340064722375,0.30697170528326206,0.2679947750596479,500.0
