"","R1","R2","R3","repl","err","n_nms","Ridx","d"
"19",0.27771834384628,0.36525809208936,0.708938280236727,0,0,"H19",19,"HabSubsmpl_25"
"5",0.129519061769058,0.192899381232592,0.222927018389636,0,0,"H5",5,"HabSubsmpl_25"
"6",0.185050882517233,0.374060430062596,0.176201252932798,0,0,"H6",6,"HabSubsmpl_25"
"4",0.097643819614794,0.153308446922065,0.0935388707540861,0,0,"H4",4,"HabSubsmpl_25"
"12",0.204735063270736,0.315353392564507,0.150765111462056,0,0,"H12",12,"HabSubsmpl_25"
"25",0.287610775849684,0.22184999174566,0.0541112816509392,0,0,"H25",25,"HabSubsmpl_25"
"21",0.200627960775279,0.307809186028056,0.168634278612762,0,0,"H21",21,"HabSubsmpl_25"
"2",0.276589340856898,0.258822792164994,0.28851861920115,0,0,"H2",2,"HabSubsmpl_25"
"9",0.227051876112046,0.317535333501181,0.262373641894912,0,0,"H9",9,"HabSubsmpl_25"
"14",0.27349026142684,0.378738550891127,0.219836987772154,0,0,"H14",14,"HabSubsmpl_25"
"1",0.466045212459897,0.253430961772761,0.366515676218562,0,0,"H1",1,"HabSubsmpl_25"
"17",0.211798027484978,0.281581129445263,0.261586498567062,0,0,"H17",17,"HabSubsmpl_25"
"20",0.164454207514198,0.25054279598096,0.38572126867658,0,0,"H20",20,"HabSubsmpl_25"
"8",0.1909313423812,0.335284596722301,0.256433501168972,0,0,"H8",8,"HabSubsmpl_25"
"22",0.179261862847842,0.230059365492068,0.145417000782701,0,0,"H22",22,"HabSubsmpl_25"
"3",0.211041078027908,0.17121214893706,0.380675640243949,0,0,"H3",3,"HabSubsmpl_25"
"7",0.240558086298124,0.127535656587148,0.178664906905228,0,0,"H7",7,"HabSubsmpl_25"
"11",0.286927157672535,0.231926114340569,0.218593998853292,0,0,"H11",11,"HabSubsmpl_25"
"10",0.269746331440096,0.275362568839959,0.328866908962523,0,0,"H10",10,"HabSubsmpl_25"
"23",0.172280914590476,0.213379314435323,0.192151395247227,0,0,"H23",23,"HabSubsmpl_25"
"13",0.282115047506036,0.291570348469776,0.356639206132601,0,0,"H13",13,"HabSubsmpl_25"
"15",0.270351040343783,0.221634403857324,0.317661505429044,0,0,"H15",15,"HabSubsmpl_25"
"16",0.168820211765641,0.197847432338331,0.149511331868264,0,0,"H16",16,"HabSubsmpl_25"
"18",0.2419939086126,0.189639897139897,0.2862680469008,0,0,"H18",18,"HabSubsmpl_25"
"24",0.134824893680773,0.268371460429437,0.293092180680815,0,0,"H24",24,"HabSubsmpl_25"
"34",0.201662320282842,0.33973143200826,0.201692548380507,1,0,"H9",9,"HabSubsmpl_25"
"46",0.231126597352251,0.341411166512659,0.316425642045046,1,0,"H21",21,"HabSubsmpl_25"
"36",0.249824923211974,0.203703736464119,0.130167736510278,1,0,"H11",11,"HabSubsmpl_25"
"32",0.197358788437484,0.132609798379641,0.281033323075663,1,0,"H7",7,"HabSubsmpl_25"
"35",0.488021509325825,0.337488435478667,0.314003176689266,1,0,"H10",10,"HabSubsmpl_25"
"49",0.122091089307934,0.255407794038297,0.456489054177079,1,0,"H24",24,"HabSubsmpl_25"
"40",0.249007339468567,0.240830906259081,0.17559146716551,1,0,"H15",15,"HabSubsmpl_25"
"28",0.341292215269267,0.109241350764519,0.288212330517617,1,0,"H3",3,"HabSubsmpl_25"
"48",0.177577628164808,0.30952722031763,0.266297361592612,1,0,"H23",23,"HabSubsmpl_25"
"44",0.220065129379483,0.139325152460696,0.506130538500628,1,0,"H19",19,"HabSubsmpl_25"
"29",0.413121538878025,0.393041830452336,0.370319260727576,1,0,"H4",4,"HabSubsmpl_25"
"41",0.225385496441985,0.212196672773872,0.335588101520524,1,0,"H16",16,"HabSubsmpl_25"
"27",0.120522790576156,0.295743194144164,0.29548258662729,1,0,"H2",2,"HabSubsmpl_25"
"45",0.174035154305919,0.481657671292754,0.138946690980481,1,0,"H20",20,"HabSubsmpl_25"
"50",0.202904504145265,0.186067612845028,0.347573873802867,1,0,"H25",25,"HabSubsmpl_25"
"33",0.379984885440739,0.197081642389643,0.18039719620415,1,0,"H8",8,"HabSubsmpl_25"
"37",0.147918509440678,0.236591833363309,0.190485638165095,1,0,"H12",12,"HabSubsmpl_25"
"30",0.387149475442352,0.204876940875148,0.384207596058361,1,0,"H5",5,"HabSubsmpl_25"
"38",0.276371318076056,0.237055629904676,0.291068942857201,1,0,"H13",13,"HabSubsmpl_25"
"42",0.413524210001443,0.209697536311984,0.3693789131244,1,0,"H17",17,"HabSubsmpl_25"
"39",0.207467785980385,0.136393892117519,0.214378904752264,1,0,"H14",14,"HabSubsmpl_25"
"31",0.170102594572024,0.0747351474201028,0.370264058078839,1,0,"H6",6,"HabSubsmpl_25"
"26",0.115380329901481,0.22280325594462,0.303871812354894,1,0,"H1",1,"HabSubsmpl_25"
"47",0.147693979043051,0.293699578689738,0.73448121770889,1,0,"H22",22,"HabSubsmpl_25"
"43",0.385754708721638,0.392033942502774,0.330006376023504,1,0,"H18",18,"HabSubsmpl_25"
