"","N1","N2","correl","cooc","int","euc","euctrim","coocpos","coocneg","intpos","intneg","euctrimpos","euctrimneg","shrd_rsc_pos","shrd_rsc_neg","repl","d"
"99","S9","S10",0.0630769230769231,0,0,0.510341393219199,0,0,0,0,0,0,0,0,0,0,"HabSubsmpl_25"
"111","S1","S2",-0.287445974988263,0,0,0.490310829642922,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"211","S1","S3",0.807843137254902,0.807843137254902,0,0.503975508791688,0,1,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"221","S2","S3",-0.223183128616265,0,0.141100011295898,0.0241137441832395,0.0241137441832395,0,0,0,1,1,0,0,0,1,"HabSubsmpl_25"
"311","S1","S4",-0.227525212830589,0,0.291431421719286,0.324476064297733,0.324476064297733,0,0,0,1,1,0,0,0,1,"HabSubsmpl_25"
"321","S2","S4",0.678461538461538,0,0,0.80582964303331,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"331","S3","S4",-0.38905074560345,0,0,0.82162301793098,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"411","S1","S5",0.584414850610374,0,0,0.529526525435152,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"421","S2","S5",-0.390974068075834,0,0,0.293673593513699,0.293673593513699,0,0,0,0,1,0,0,0,1,"HabSubsmpl_25"
"431","S3","S5",0.637473567310526,0,0.15417956197522,0.315835132348445,0.315835132348445,0,0,0,1,1,0,0,0,1,"HabSubsmpl_25"
"441","S4","S5",-0.530607663817203,0,0,0.777158529568584,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"511","S1","S6",0.686049305863226,0,0,0.244563006981263,0.244563006981263,0,0,0,0,1,0,0,0,1,"HabSubsmpl_25"
"521","S2","S6",0.191538461538462,0,0.44027525236301,0.323423633743532,0.323423633743532,0,0,0,1,1,0,0,0,1,"HabSubsmpl_25"
"531","S3","S6",0.588786619462364,0,0.12903297854792,0.344379772428238,0.344379772428238,0,0,0,1,1,0,0,0,1,"HabSubsmpl_25"
"541","S4","S6",0.339230769230769,0,0.142646338018967,0.511101218827106,0,0,0,0,1,0,0,1,0,1,"HabSubsmpl_25"
"551","S5","S6",0.470667388572127,0,0,0.285286055386783,0.285286055386783,0,0,0,0,1,0,0,0,1,"HabSubsmpl_25"
"611","S1","S7",-0.820653916507277,-0.820653916507277,0.346113276811736,0.941837977397523,0.941837977397523,0,1,0,1,0,1,0,1,1,"HabSubsmpl_25"
"621","S2","S7",0.595384615384615,0,0.313944349178516,0.863464985981096,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"631","S3","S7",-0.708628143777712,-0.708628143777712,0,0.885081759831702,0,0,1,0,0,0,0,0,0,1,"HabSubsmpl_25"
"641","S4","S7",0.422307692307692,0,0,1.03313430448815,1.03313430448815,0,0,0,0,0,1,0,0,1,"HabSubsmpl_25"
"651","S5","S7",-0.470667388572127,0,0.242011648301046,0.570226073859807,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"661","S6","S7",-0.446923076923077,0,0,0.740831006021895,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"711","S1","S8",-0.164130783301455,0,0.107093558794131,0.328089392231908,0.328089392231908,0,0,0,1,1,0,0,0,1,"HabSubsmpl_25"
"721","S2","S8",0.752307692307692,0.752307692307692,0,0.808077276822892,0,1,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"731","S3","S8",-0.298735393945506,0,0,0.824036970049998,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"741","S4","S8",0.981538461538462,0.981538461538462,0.281550735203213,0.00782251081210911,0.00782251081210911,1,0,0,1,1,0,1,0,1,"HabSubsmpl_25"
"751","S5","S8",-0.466580551623599,0,0.413785840664283,0.776536141277754,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"761","S6","S8",0.416923076923077,0,0,0.511777102407125,0,0,0,0,0,0,0,1,0,1,"HabSubsmpl_25"
"771","S7","S8",0.398461538461538,0,0,1.02834885354588,1.02834885354588,0,0,0,0,0,1,0,0,1,"HabSubsmpl_25"
"811","S1","S9",-0.744810689356516,-0.744810689356516,0.245286322941506,1.16853438800524,1.16853438800524,0,1,0,1,0,1,0,1,1,"HabSubsmpl_25"
"821","S2","S9",0.663589164035184,0,-0.352442592586637,1.11874143536941,1.11874143536941,0,0,1,0,0,1,0,0,1,"HabSubsmpl_25"
"831","S3","S9",-0.750890776616569,-0.750890776616569,0.444783420405504,1.140327336177,1.140327336177,0,1,0,1,0,1,0,0,1,"HabSubsmpl_25"
"841","S4","S9",0.642815938030605,0,-0.211002132713986,1.21621731748,1.21621731748,0,0,1,0,0,1,0,0,1,"HabSubsmpl_25"
"851","S5","S9",-0.564091988558117,0,0.493623422415519,0.825483887599374,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"861","S6","S9",-0.281977308543646,0,0,0.983195251949533,0.983195251949533,0,0,0,0,0,1,0,0,1,"HabSubsmpl_25"
"871","S7","S9",0.93364110209472,0.93364110209472,0,0.255280774341237,0.255280774341237,1,0,0,0,1,0,1,0,1,"HabSubsmpl_25"
"881","S8","S9",0.611656099023735,0,-0.2953442744077,1.21050889293086,1.21050889293086,0,0,1,0,0,1,0,0,1,"HabSubsmpl_25"
"911","S1","S10",0.640891630034255,0,0.21600503154141,0.440119625030286,0,0,0,0,1,0,0,0,0,1,"HabSubsmpl_25"
"921","S2","S10",0.261538461538462,0,0,0.159234344483556,0.159234344483556,0,0,0,0,1,0,0,0,1,"HabSubsmpl_25"
"931","S3","S10",0.726864897477874,0.726864897477874,0.100214302692512,0.183237683310271,0.183237683310271,1,0,0,1,1,0,0,0,1,"HabSubsmpl_25"
"941","S4","S10",0.114615384615385,0,0,0.727859041635194,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"951","S5","S10",0.446827506372381,0,0,0.150906281923959,0.150906281923959,0,0,0,0,1,0,0,0,1,"HabSubsmpl_25"
"961","S6","S10",0.858461538461538,0.858461538461538,0,0.217353553442826,0.217353553442826,1,0,0,0,1,0,0,0,1,"HabSubsmpl_25"
"971","S7","S10",-0.496153846153846,0,0,0.7168090459793,0,0,0,0,0,0,0,0,0,1,"HabSubsmpl_25"
"981","S8","S10",0.234615384615385,0,-0.182155635720301,0.728722409579119,0,0,0,1,0,0,0,0,0,1,"HabSubsmpl_25"
"991","S9","S10",-0.415464520091594,0,0.416327904103544,0.971598741729623,0.971598741729623,0,0,0,1,0,1,0,0,1,"HabSubsmpl_25"
