"","totp","eucp","intp","shrp","eucshrp","eucintp","shrintp","eucshrintp","unxp","eucp_cor","shrp_cor","intp_cor","eucshrp_cor","eucintp_cor","shrintp_cor","mneuc_p","mnint_p","mneuc_nonintp","mneuc_noneucp","mneuc_nonshrp","mneuc_noneucshrp","mnint_nonintp","mnint_noneucp","mnint_nonshrp","mnint_intp","mnint_eucp","mnint_shrp","mnint_eucshrp","mnint_eucintp","mnint_shrintp","mneuc_intp","mneuc_eucp","mneuc_shrp","mneuc_eucshrp","mneuc_eucintp","mneuc_shrintp","mnint_noneucintp","mneuc_noneucintp","mnint_onlyintp_spsort","mnint_onlyeucp_spsort","mnint_onlyshrp_rscasm","mnint_onlyeucp_rscasm","mneuc_onlyintp_spsort","mneuc_onlyeucp_spsort","mneuc_onlyshrp_rscasm","mneuc_onlyeucp_rscasm","mnint_noneucshrp","totn","eucn","intn","shrn","eucshrn","eucintn","shrintn","eucshrintn","unxn","eucn_cor","shrn_cor","intn_cor","eucshrn_cor","eucintn_cor","shrintn_cor","mneuc_n","mnint_n","mneuc_nonintn","mneuc_noneucn","mneuc_nonshrn","mneuc_noneucshrn","mnint_nonintn","mnint_noneucn","mnint_nonshrn","mnint_intn","mnint_eucn","mnint_shrn","mnint_eucshrn","mnint_eucintn","mnint_shrintn","mneuc_intn","mneuc_eucn","mneuc_shrn","mneuc_eucshrn","mneuc_eucintn","mneuc_shrintn","mnint_noneucintn","mneuc_noneucintn","mnint_onlyintn_spsort","mnint_onlyeucn_spsort","mnint_onlyshrn_rscasm","mnint_onlyeucn_rscasm","mneuc_onlyintn_spsort","mneuc_onlyeucn_spsort","mneuc_onlyshrn_rscasm","mneuc_onlyeucn_rscasm","mnint_noneucshrn","NA.","run_nm","eucp_corA","intp_corA","eucintp_corA","unxpA","eucn_corA","intn_corA","eucintn_corA","unxnA","eucp_corB","shrp_corB","eucshrp_corB","unxpB","eucn_corB","shrn_corB","eucshrn_corB","unxnB"
"1",3,0.25,0.875,0,0,0.25,0,0,0.125,0,0,0.625,0,0.25,0,0.572300292747401,-0.285182731295804,0.519612155520083,0.303768150433683,0.572300292747401,0.659440915775835,0.126532965140173,-0.372915230808436,-0.285182731295804,-0.355372546157576,-0.100294539535888,NA,NA,-0.100294539535888,NA,0.596790131661429,0.303768150433683,NA,NA,0.303768150433683,NA,0.126532965140173,0.519612155520083,-0.443105045670207,NA,NA,-0.100294539535888,0.683930754689863,NA,NA,0.303768150433683,-0.372915230808436,5,0.125,0.9375,0,0,0.0625,0,0,0,0.0625,0,0.875,0,0.0625,0,0.442517155013693,0.28929853061399,0.745308975190786,0.386302613641529,0.442517155013693,0.386302613641529,0,0.297451445658036,0.28929853061399,0.309114618105329,0.146100689805717,NA,NA,0.292201379611433,NA,0.421005515420643,0.781433269121063,NA,NA,0.817557563051339,NA,NA,NA,0.311185953126163,0,NA,0.146100689805717,0.386302613641529,0.745308975190786,NA,0.781433269121063,0.311185953126163,"HabSubsmpl_25","c1",0,0.625,0.25,0.125,0.0625,0.875,0.0625,0,0.25,0,0,0.75,0.125,0,0,0.875
"2",12,0.839160839160839,0,0.594405594405594,0.517482517482518,0,0,0,0.0839160839160839,0.321678321678321,0.0769230769230761,0,0.517482517482518,0,0,0.255656772999757,0,0.255656772999757,0.22671241200736,0.282591419750627,0.400076373828362,0,0,0,NA,0,0,0,NA,NA,NA,0.22671241200736,0.24901989459214,0.215316029041215,NA,NA,0,0.404286831509082,NA,0,0,0,NA,0.22671241200736,0.401490203273944,0.247372745895628,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HabSubsmpl_25","c2",0.839160839160839,0,0,0.16083916083916,NA,NA,NA,NA,0.321678321678321,0.0769230769230761,0.517482517482518,0.0839160839160839,NA,NA,NA,NA
"3",6,0.4375,0.4375,0.6875,0.3125,0.1875,0.25,0.125,0.0625,0.0625,0.25,0.125,0.1875,0.0625,0.125,0.432076952882092,-0.142420401800379,0.404816411679526,0.271720856142181,0.501322491868379,0.679192215830021,0.028712567075061,-0.116250996138185,-0.181050213898724,-0.373984679471389,-0.170495737960873,-0.128273177435396,-0.103796515596826,-0.407690698285792,-0.427063199808419,0.464030069669286,0.271720856142181,0.410686245208485,0.263511182675743,0.324310886426664,0.450841214614358,0.047854278458435,0.541881558731838,-0.333821160149445,0,-0.0738443754635572,-0.20009766709214,0.561572476849343,0.232510503611353,0.510093013079007,0.277407224379004,-0.114350991534678,1.5,0.333333333333333,0.666666666666667,0,0,0,0,0,0,0.333333333333333,0,0.666666666666667,0,0,0,0.607321482503915,0.287192490038283,0.735480798646453,0.543241824432645,0.607321482503915,0.543241824432645,0,NA,0.287192490038283,0.430788735057425,0,NA,NA,NA,NA,0.543241824432645,0.735480798646453,NA,NA,NA,NA,NA,NA,0.430788735057425,0,NA,0,0.543241824432645,0.735480798646453,NA,0.735480798646453,0.430788735057425,"HabSubsmpl_25","s1",0.25,0.25,0.1875,0.3125,0.333333333333333,0.666666666666667,0,0,0.125,0.375,0.3125,0.1875,0.333333333333333,0,0,0.666666666666667
"4",8.5,0.464285714285714,0.242857142857143,0.707142857142857,0.464285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.121428571428571,0,0.242857142857143,0.171428571428572,0.392857142857143,0,0,0.362191428238416,-0.0282669557085612,0.316290349289623,0.204754746720696,0.610998211089317,0.610998211089317,0.0576954184300613,-0.102656966076469,-0.181489349464223,-0.306022009364467,0.0507907158734113,0.0361087501395078,0.0507907158734113,-0.259884812713824,-0.259884812713824,0.517415152306132,0.204754746720696,0.258201243373534,0.204754746720696,0.16251918296997,0.16251918296997,0,0.448736706194973,-0.303417242206658,0.116507124295931,0,NA,0.651396457118827,0.215489954275023,0.363585690511073,NA,-0.181489349464223,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HabSubsmpl_25","s2",0.392857142857143,0.171428571428572,0.0714285714285714,0.364285714285714,NA,NA,NA,NA,0,0.242857142857143,0.464285714285714,0.292857142857143,NA,NA,NA,NA
"5",10,0.335164835164835,0.21978021978022,0.56043956043956,0.225274725274725,0.0384615384615385,0.148351648351648,0.0384615384615385,0.258241758241758,0.10989010989011,0.225274725274726,0.071428571428572,0.186813186813187,0,0.109890109890109,0.42499810732498,0.00625842258123543,0.372306094803741,0.140664348416394,0.423880492400999,0.497275051466313,0.109767146771346,-0.0334209272356579,0.104132441575464,-0.334015207578553,0.111226465524982,-0.0918153033327432,-0.0149063711824087,-0.11925096945927,-0.37289264628254,0.603433153332197,0.140664348416394,0.385384392475505,0.105894975962139,0.131245896802641,0.487756363483313,0.0984156920619609,0.513702623380403,-0.425477634280428,0.123151562470909,-0.131161975567908,0.246303124941818,0.840546544507344,0.141119089419856,0.579021560438971,0.203696815205058,0.0567422137866795,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.894702085570009,0.463656910773398,NA,0.894702085570009,0.894702085570009,0.894702085570009,NA,NA,0.463656910773398,0.463656910773398,NA,NA,NA,NA,NA,0.894702085570009,NA,NA,NA,NA,NA,NA,NA,0.463656910773398,NA,NA,NA,0.894702085570009,NA,NA,NA,0.463656910773398,"HabSubsmpl_25","s3",0.296703296703296,0.181318681318682,0.0384615384615385,0.483516483516483,0,1,0,0,0.10989010989011,0.335164835164835,0.225274725274725,0.32967032967033,0,0,0,1
"6",9,0.333333333333333,0.333333333333333,0.541666666666667,0.208333333333333,0.0416666666666667,0.25,0.0416666666666667,0.25,0.125,0.125000000000001,0.083333333333333,0.166666666666666,0,0.208333333333333,0.500859509820698,-0.126477682986464,0.469116410375237,0.225643098343647,0.569243659129435,0.695938572075424,0.0431190383900661,-0.173099012377294,-0.0450525040660716,-0.465671125739525,-0.0332350242048053,-0.205919197304776,-0.0783711929446539,-0.470227157667923,-0.459389595894665,0.564345708711619,0.225643098343647,0.444247464283663,0.224882224308024,0.0529713972574289,0.455296710033598,0.0485557650211576,0.652272278080156,-0.468041288561603,0.0340578273382468,-0.264339024168312,0.102173482014741,0.640106033662032,0.24151575981273,0.580996859043022,0.212710537630027,-0.0818590005862746,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HabSubsmpl_25","s4",0.291666666666666,0.291666666666666,0.0416666666666667,0.375000000000001,NA,NA,NA,NA,0.125,0.333333333333334,0.208333333333333,0.333333333333333,NA,NA,NA,NA
"7",8,0.366666666666667,0.316666666666667,0.25,0.15,0.0833333333333333,0.05,0,0.35,0.133333333333334,0.05,0.183333333333334,0.15,0.0833333333333333,0.05,0.410215817265296,-0.118322504667341,0.36859953309698,0.227680410463415,0.453953572624561,0.52192745980909,0.00724138166489387,-0.125316651750054,-0.120339756246927,-0.387076246504419,-0.119546385786225,-0.0872385485466981,0,-0.478185543144901,-0.43619274273349,0.514632345331316,0.227680410463415,0.322337736057741,0.192027445014557,0.307589909493628,0.663900320038858,0.0168965572180857,0.458949644816401,-0.366041411375184,0,-0.218096371366745,-0.119546385786225,0.522275394421963,0.191542084000711,0.517803172622517,0.269710589479495,-0.108822997119147,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HabSubsmpl_25","s5",0.283333333333334,0.233333333333334,0.0833333333333333,0.4,NA,NA,NA,NA,0.216666666666667,0.1,0.15,0.533333333333334,NA,NA,NA,NA
